;Subject;Test;FCz Oz;FCz O1;FCz PO8;FCz O2;FCz PO7;FCz PO3;FCz PO4;Oz O1;Oz PO8;Oz O2;Oz PO7;Oz PO3;Oz PO4;O1 PO8;O1 O2;O1 PO7;O1 PO3;O1 PO4;O2 PO8;PO7 PO8;PO3 PO8;PO4 PO8;O2 PO7;O2 PO3;O2 PO4;PO7 PO3;PO7 PO4;PO3 PO4
0;2S3;Resting open;0.063265816;0.063390848;0.065391348;0.060390098;0.057764441;0.061265316;0.062265566;0.463490873;0.354463616;0.415353838;0.260940235;0.208552138;0.287071768;0.492748187;0.352713178;0.239434859;0.230807702;0.263565891;0.270692673;0.186296574;0.220305076;0.210802701;0.385596399;0.176669167;0.366591648;0.132658165;0.280945236;0.199924981
0;2S4;Resting open;0.088397099;0.080770193;0.080395099;0.076144036;0.062890723;0.089522381;0.087021755;0.212928232;0.224056014;0.228932233;0.137659415;0.253563391;0.195048762;0.297949487;0.199674919;0.130532633;0.333083271;0.170167542;0.194548637;0.129657414;0.3935984;0.171417854;0.266066517;0.215803951;0.341585396;0.135533883;0.249937484;0.201675419
0;2S5;Resting open;0.073643411;0.074393598;0.07351838;0.072268067;0.071142786;0.103025756;0.089647412;0.420980245;0.272193048;0.423355839;0.22468117;0.330832708;0.397724431;0.349837459;0.303450863;0.182795699;0.345836459;0.287071768;0.196924231;0.149287322;0.279694924;0.185296324;0.348962241;0.229932483;0.451862966;0.154913728;0.281820455;0.331332833
0;2S6;Resting open;0.055013753;0.051637909;0.050887722;0.054513628;0.052763191;0.064766192;0.062390598;0.614403601;0.332458115;0.333708427;0.247936984;0.369967492;0.315203801;0.498749687;0.227181795;0.192298075;0.406476619;0.23755939;0.148412103;0.140535134;0.327206802;0.161290323;0.329582396;0.16404101;0.272193048;0.158789697;0.383845961;0.262815704
0;2S8;Resting open;0.063390848;0.065766442;0.066391598;0.062015504;0.06064016;0.071767942;0.067391848;0.604526132;0.412228057;0.560890223;0.340460115;0.522630658;0.44136034;0.524381095;0.423730933;0.265191298;0.561515379;0.343710928;0.305076269;0.214178545;0.42448112;0.237684421;0.438234559;0.36584146;0.453113278;0.24556139;0.351587897;0.402850713
0;2S9;Resting open;0.067391848;0.064141035;0.063015754;0.069142286;0.070517629;0.072393098;0.070892723;0.499749937;0.342710678;0.344586147;0.220805201;0.418729682;0.322580645;0.536134034;0.241810453;0.163665916;0.498499625;0.225056264;0.184671168;0.132908227;0.455488872;0.17291823;0.337334334;0.224306077;0.483870968;0.14716179;0.334708677;0.240185046
0;2S10;Resting open;0.060515129;0.069392348;0.071642911;0.067016754;0.067766942;0.088022006;0.103275819;0.472493123;0.310952738;0.381595399;0.220055014;0.282070518;0.184046012;0.498624656;0.225306327;0.151412853;0.271817954;0.136284071;0.157664416;0.115903976;0.266691673;0.110152538;0.429607402;0.204926232;0.272068017;0.150162541;0.254813703;0.225056264
0;2S11;Resting open;0.083395849;0.086271568;0.087021755;0.080145036;0.080020005;0.099649912;0.113903476;0.517379345;0.393848462;0.495623906;0.246061515;0.404351088;0.242060515;0.522630658;0.367341835;0.199049762;0.441235309;0.216804201;0.278194549;0.16704176;0.39659915;0.172793198;0.4056014;0.302450613;0.290322581;0.18792198;0.247811953;0.277694424
0;2S12;Resting open;0.072018005;0.06364091;0.064891223;0.068392098;0.07351838;0.066891723;0.065391348;0.494498625;0.296824206;0.442860715;0.235433858;0.405726432;0.306451613;0.44636159;0.308827207;0.190172543;0.463115779;0.215303826;0.209927482;0.151162791;0.330332583;0.154913728;0.365341335;0.274443611;0.388472118;0.185796449;0.269567392;0.276069017
0;2S3;Resting;0.075643911;0.086021505;0.088397099;0.080145036;0.083395849;0.078769692;0.073643411;0.41847962;0.321705426;0.358589647;0.232683171;0.254063516;0.234933733;0.490497624;0.300950238;0.192173043;0.301575394;0.203925981;0.238059515;0.173293323;0.312578145;0.172168042;0.399349837;0.18692173;0.303325831;0.13615904;0.236809202;0.204301075
0;2S4;Resting;0.069267317;0.067391848;0.067266817;0.066266567;0.06464116;0.069392348;0.067391848;0.326581645;0.266191548;0.257814454;0.134408602;0.317829457;0.222930733;0.428982246;0.226431608;0.131407852;0.402350588;0.184796199;0.1987997;0.127531883;0.375843961;0.167291823;0.302450613;0.21667917;0.460990248;0.124531133;0.269067267;0.215803951
0;2S5;Resting;0.093898475;0.090397599;0.0963991;0.091272818;0.088022006;0.10140035;0.088022006;0.500500125;0.278194549;0.459989997;0.236684171;0.359339835;0.429857464;0.460865216;0.294948737;0.191422856;0.444236059;0.290572643;0.200175044;0.156914229;0.326206552;0.182170543;0.429482371;0.215053763;0.468867217;0.145536384;0.284196049;0.292698175
0;2S6;Resting;0.071142786;0.074893723;0.068267067;0.065141285;0.064766192;0.087646912;0.074768692;0.643410853;0.311577894;0.356964241;0.238184546;0.480995249;0.370092523;0.468242061;0.252313078;0.18492123;0.525131283;0.260065016;0.162415604;0.130907727;0.340710178;0.157289322;0.332833208;0.208802201;0.343210803;0.164791198;0.400100025;0.303950988
0;2S8;Resting;0.048512128;0.051262816;0.058014504;0.053888472;0.060140035;0.053513378;0.055513878;0.588147037;0.344211053;0.532133033;0.332083021;0.461740435;0.410977744;0.542135534;0.356339085;0.231307827;0.537134284;0.282820705;0.243685921;0.179419855;0.371092773;0.187421855;0.508877219;0.284196049;0.426731683;0.205926482;0.376469117;0.335708927
0;2S9;Resting;0.06164041;0.063015754;0.065016254;0.061015254;0.069142286;0.067516879;0.066516629;0.434483621;0.21467867;0.307951988;0.118154539;0.338084521;0.259314829;0.446861715;0.166916729;0.090772693;0.418104526;0.149537384;0.110027507;0.084646162;0.293323331;0.100150038;0.239309827;0.149037259;0.473618405;0.081270318;0.205301325;0.163915979
0;2S10;Resting;0.068267067;0.070017504;0.070517629;0.070142536;0.063140785;0.075143786;0.093023256;0.528132033;0.33895974;0.441485371;0.233183296;0.414103526;0.251062766;0.574018505;0.267566892;0.166916729;0.401975494;0.178169542;0.205176294;0.151537884;0.318204551;0.141660415;0.489997499;0.26744186;0.353713428;0.161290323;0.259189797;0.302075519
0;2S11;Resting;0.067141785;0.069267317;0.070892723;0.067016754;0.056264066;0.082020505;0.089147287;0.502750688;0.404976244;0.482995749;0.227556889;0.401725431;0.236184046;0.491997999;0.344836209;0.181295324;0.418354589;0.209427357;0.282195549;0.148787197;0.374843711;0.15703926;0.357589397;0.285696424;0.281195299;0.170292573;0.229557389;0.250562641
0;2S12;Resting;0.08052013;0.078894724;0.082645661;0.070017504;0.08152038;0.07551888;0.069767442;0.513253313;0.268692173;0.441485371;0.222930733;0.416104026;0.297324331;0.464741185;0.275818955;0.158664666;0.512253063;0.206301575;0.173418355;0.120405101;0.32208052;0.134533633;0.408727182;0.249687422;0.456864216;0.153163291;0.326831708;0.262190548
0;2S3;Motion dots left;0.060385497;0.067057555;0.07561666;0.065103114;0.065305297;0.069281574;0.068001078;0.363593476;0.297951206;0.277058903;0.18681763;0.220582289;0.19470279;0.414071977;0.259940693;0.184121849;0.254953498;0.188974255;0.207372961;0.150828953;0.259805904;0.161814261;0.244574741;0.171451678;0.21613425;0.126566923;0.182032619;0.179539021
0;2S4;Motion dots left;0.089028171;0.080738644;0.089836905;0.076492789;0.075414476;0.09408276;0.084917105;0.236891764;0.282989621;0.242148538;0.189446017;0.309071303;0.237700499;0.309408276;0.1933549;0.152850789;0.289931258;0.181291279;0.201914005;0.150357191;0.383609651;0.180819517;0.2610864;0.236150425;0.275239251;0.179404232;0.252864267;0.241339803
0;2S5;Motion dots left;0.080603855;0.079458148;0.076829761;0.073325246;0.06847284;0.099406928;0.087815069;0.381587815;0.29667071;0.374713573;0.238441839;0.312643213;0.362043402;0.34310554;0.267421485;0.192276587;0.319450061;0.266814935;0.194635396;0.156759671;0.266882329;0.1982747;0.297209867;0.224962933;0.367434964;0.173473514;0.322078447;0.321606686
0;2S6;Motion dots left;0.070157703;0.066922766;0.066316215;0.063957407;0.067259739;0.081345195;0.072381723;0.588623804;0.381789999;0.416430786;0.291211754;0.434290336;0.344857798;0.506267691;0.30381453;0.224828144;0.433548996;0.264051759;0.218156086;0.172597385;0.411106618;0.197465966;0.373163499;0.24174417;0.328548322;0.214449387;0.449993261;0.311564901
0;2S8;Motion dots left;0.071101227;0.072988273;0.07413398;0.070292492;0.072583906;0.082086535;0.077234129;0.566451004;0.387383744;0.528844858;0.305634183;0.514220245;0.44001887;0.503369726;0.400997439;0.237093948;0.564429168;0.330974525;0.287505055;0.193287505;0.430381453;0.232106753;0.391562205;0.351125489;0.438131824;0.227119558;0.32032619;0.400053916
0;2S9;Motion dots left;0.073190457;0.07278609;0.07918857;0.068742418;0.069618547;0.076627578;0.070966438;0.547984904;0.376398436;0.251179404;0.248416229;0.458754549;0.35739318;0.525340342;0.211281844;0.202924922;0.479444669;0.262973447;0.15972503;0.183178326;0.409893517;0.205890282;0.255627443;0.181965224;0.236217819;0.197735544;0.302668823;0.355506133
