;Test;Delta Oz;Theta Oz;Alpha Oz;Beta Oz;Delta O1;Theta O1;Alpha O1;Beta O1;Delta PO7;Theta PO7;Alpha PO7;Beta PO7;Delta O2;Theta O2;Alpha O2;Beta O2;Delta PO8;Theta PO8;Alpha PO8;Beta PO8;Delta PO3;Theta PO3;Alpha PO3;Beta PO3;Delta PO4;Theta PO4;Alpha PO4;Beta PO4;alpha_1;beta_1;delta_1;theta_1
S1;Resting;0.007121083;0.014439936;0.08743674;0.031474047;0.007070116;0.014782106;0.091427944;0.03301786;0.005638683;0.013527592;0.075347537;0.032271288;0.008399954;0.014588258;0.085799862;0.031495657;0.0071002;0.013255639;0.07441522;0.030415261;0.00526455;0.010741446;0.081676913;0.026892506;0.006288043;0.011642065;0.085325322;0.028823652;8.79415;0.86916;-7.36086;-7.34252
S2;Resting;0.010806638;0.02583712;0.068988509;0.021714245;0.010771524;0.025900471;0.069505179;0.021915892;0.009924424;0.02763586;0.079541312;0.027813538;0.010096237;0.024230606;0.072817702;0.01687808;0.009971478;0.023798524;0.083872756;0.016477497;0.010342169;0.024079758;0.073887345;0.019327818;0.011827947;0.022316702;0.076956478;0.015385235;6.59052;-5.08286;-5.39967;-0.533214
S3;Resting;0.015262071;0.016681236;0.034593067;0.050883401;0.018358923;0.019587171;0.036547835;0.058894049;0.018410833;0.017365481;0.041214861;0.062006981;0.015415796;0.018623277;0.036382134;0.053581231;0.018375503;0.020973533;0.050887213;0.065487448;0.017590264;0.019693105;0.038641854;0.051355996;0.012935776;0.017323512;0.038573694;0.052872936;-1.85156;14.9995;-2.31076;-4.16879
S5;Resting;0.007526;0.010376674;0.065798095;0.045331007;0.006639572;0.011796371;0.078313407;0.05765797;0.008426817;0.011467909;0.082190801;0.06332936;0.007789546;0.009209836;0.061603544;0.039508737;0.007705987;0.009083688;0.063395546;0.042042404;0.006874643;0.010138759;0.060543915;0.040706309;0.007488846;0.00995662;0.059001727;0.033627159;4.9207;9.18206;-6.92234;-9.0964
S6;Resting;0.008546755;0.014735703;0.070658927;0.022947303;0.008341649;0.01488573;0.076191851;0.026279047;0.008179694;0.015166092;0.085882618;0.037296272;0.007656328;0.014504116;0.092735693;0.026191696;0.007088038;0.01304691;0.128765196;0.033214702;0.007936909;0.013910443;0.067897938;0.018487639;0.006340676;0.012510271;0.073520257;0.01525102;8.93924;-2.14996;-6.85731;-6.82414
S7;Resting;0.021631958;0.028018275;0.03841667;0.022155952;0.017651658;0.029685408;0.040016309;0.023536836;0.018525637;0.029806465;0.044751222;0.024531252;0.021845666;0.035731782;0.046162057;0.023916554;0.019446456;0.033335832;0.057023813;0.028721709;0.049367231;0.038666333;0.034994656;0.019456925;0.038964194;0.033091573;0.037248068;0.021496857;-1.02591;-3.19158;3.12355;4.31384
S10;Resting;0.005549823;0.012721171;0.08927234;0.012760997;0.005553831;0.011426415;0.093071226;0.012232643;0.005603374;0.011231464;0.099069063;0.012548597;0.005547611;0.01336491;0.102118663;0.013942746;0.005719847;0.014565158;0.127551561;0.015864259;0.005551476;0.011289234;0.0919942;0.011101346;0.005733815;0.0128981;0.099646177;0.011914599;12.5711;-8.95119;-7.93093;-7.65821
S13;Resting;0.026891663;0.029126025;0.024340954;0.05017243;0.026602498;0.027196294;0.024619452;0.050435692;0.027297814;0.027050785;0.025723635;0.055336291;0.025655207;0.028693453;0.025280203;0.05647977;0.026172339;0.026965938;0.023392709;0.055121543;0.026571927;0.023732481;0.019988984;0.040444696;0.0260972;0.025795052;0.021377183;0.046765569;-5.50451;11.8642;2.84115;0.779544
S14;Resting;0.014397188;0.016674321;0.068808211;0.016973634;0.01613691;0.016230966;0.076058145;0.0191452;0.017307829;0.019756632;0.093542342;0.036320974;0.014588955;0.017936798;0.072158824;0.016456529;0.014351976;0.02062506;0.079924461;0.017698967;0.013393075;0.015815868;0.07884264;0.019869762;0.013620614;0.016339868;0.085581483;0.017603747;7.49439;-4.81144;-3.21333;-4.66343
S15;Resting;0.004492372;0.010219933;0.095711089;0.015886045;0.00505393;0.011667085;0.118819854;0.01787766;0.004952979;0.011686202;0.119202792;0.016896916;0.004275102;0.010826508;0.090435342;0.015168592;0.004646623;0.012558586;0.097947492;0.015851167;0.004382019;0.010203681;0.095385284;0.013531659;0.003563339;0.009744745;0.077391355;0.012871544;12.597;-7.55695;-8.53511;-8.66245
S16;Resting;0.018132716;0.022059064;0.07140498;0.022981415;0.018648165;0.021418712;0.071081366;0.025044447;0.017801854;0.022172886;0.061741799;0.022935389;0.016260783;0.020742377;0.070247886;0.021596033;0.015280317;0.020568273;0.067373182;0.022188975;0.013520736;0.016254191;0.075978183;0.01792901;0.012837233;0.016985389;0.08934799;0.019101747;6.02525;-4.09561;-2.5931;-3.38633
S18;Resting;0.018743627;0.03327062;0.035703177;0.032399878;0.015141944;0.03644078;0.038279791;0.036290258;0.01556389;0.041803872;0.048786004;0.040905677;0.022475719;0.036690279;0.03442728;0.034410716;0.017864798;0.033434789;0.040657127;0.037900037;0.0150235;0.03527331;0.040231548;0.032774819;0.017206082;0.031524219;0.036792684;0.033412146;-1.88565;3.45909;-1.68596;5.72556
S19;Resting;0.012560379;0.028016371;0.064792631;0.015759287;0.01405708;0.030999572;0.067428135;0.017304209;0.015462651;0.03362063;0.065747965;0.022877147;0.01164485;0.02687243;0.062844657;0.015098253;0.017990217;0.035225066;0.081904594;0.020289809;0.013075147;0.03435789;0.085457781;0.020660612;0.010291151;0.02755393;0.069090649;0.014982833;5.59353;-6.10685;-3.81985;3.1031
S20;Resting;0.014075598;0.014898226;0.096791014;0.018498075;0.014379626;0.011433213;0.096791832;0.019377205;0.005991989;0.007883702;0.107346843;0.020547934;0.004475124;0.006711701;0.09840878;0.018274785;0.004089815;0.00634337;0.110270059;0.01960604;0.005910556;0.006934678;0.108614484;0.017810646;0.003560909;0.00500293;0.096491001;0.014432585;13.0601;-5.95981;-7.1852;-10.2649
S21;Resting;0.021643268;0.036961362;0.028339;0.02929007;0.021345501;0.044838794;0.028931028;0.03222966;0.02134602;0.044451181;0.03531313;0.037532353;0.023075397;0.03537693;0.034141181;0.032273828;0.023787837;0.037548532;0.032360473;0.029732584;0.018125362;0.034255373;0.023136259;0.022693951;0.018928604;0.02965891;0.023950734;0.023594594;-4.09588;0.19026;0.152798;6.61876
S22;Resting;0.014496297;0.016619548;0.039696008;0.054360523;0.014014685;0.016670157;0.041357188;0.054610569;0.013868098;0.016093969;0.039776818;0.053541748;0.01228927;0.016928062;0.043592666;0.053933418;0.012174709;0.018869477;0.040718752;0.053387679;0.013646959;0.015229665;0.03932469;0.052875776;0.012444041;0.015863728;0.046722608;0.054232568;-1.26512;13.792;-4.00046;-5.30262
S24;Resting;0.008399111;0.007447936;0.084911482;0.006367291;0.008404777;0.007926498;0.078180917;0.006918917;0.008883473;0.008693306;0.111783888;0.008874833;0.00772029;0.007958444;0.122312652;0.00704859;0.007094702;0.008819438;0.142116514;0.008631026;0.008007909;0.007367922;0.077641373;0.00692914;0.007050458;0.007702342;0.173091256;0.008332355;14.9877;-11.8838;-6.74766;-10.3852
2S2;Resting;0.012160301;0.029193852;0.048515521;0.030950838;0.009121581;0.026012776;0.063955755;0.030446727;0.010438808;0.027801561;0.082782913;0.035560962;0.007890178;0.022869953;0.057525171;0.029453118;0.011567272;0.022517048;0.054968991;0.025311086;0.01076513;0.0235645;0.081346752;0.030187967;0.009292728;0.021581085;0.08093841;0.030393314;4.44788;0.7523;-5.53086;-0.566773
2S3;Resting;0.007764093;0.012516312;0.062456801;0.020256504;0.007107789;0.013438782;0.080843657;0.019115293;0.00682464;0.015206905;0.106298154;0.019475413;0.006194634;0.010245765;0.05496638;0.017310072;0.004973527;0.008263834;0.05034668;0.014521704;0.009329592;0.017740179;0.125151647;0.029049942;0.008055437;0.012714694;0.079635916;0.026803619;7.47118;-4.30988;-7.14226;-7.52416
2S4;Resting;0.023255999;0.020054514;0.045923214;0.015566957;0.025120391;0.021801345;0.060502225;0.019014492;0.029626633;0.027082951;0.104121653;0.027475515;0.010842441;0.013123763;0.051155568;0.012579903;0.012549161;0.011994349;0.06832387;0.013997385;0.022604812;0.01935942;0.09215899;0.022920847;0.015940931;0.014529308;0.077165768;0.01837786;5.22508;-5.81506;-0.763303;-4.55119
2S5;Resting;0.005013728;0.00664728;0.065989865;0.015350399;0.006103417;0.007870734;0.102375906;0.016841981;0.005719019;0.010720453;0.165489643;0.020155521;0.00468612;0.006562915;0.079185618;0.017066163;0.004742755;0.006697074;0.108420634;0.018482316;0.006073744;0.008251831;0.099011452;0.017509493;0.004866356;0.006987545;0.071902977;0.016593871;11.8981;-6.4629;-8.12422;-10.5962
2S6;Resting;0.012944417;0.01984613;0.046201583;0.039576833;0.014124228;0.020682863;0.050967252;0.042085986;0.014249894;0.022869862;0.054022794;0.046667217;0.018783859;0.024086616;0.045282893;0.036044647;0.016427789;0.022747217;0.054716137;0.034074148;0.009635624;0.020949481;0.058226511;0.038826302;0.012476471;0.02312151;0.059549143;0.036804315;1.21775;5.5983;-3.49373;-2.0164
2S7;Resting;0.010930859;0.018795424;0.037929764;0.047777715;0.015667871;0.018069088;0.03392256;0.05070991;0.018247307;0.021768597;0.032176243;0.054288037;0.012672042;0.019593749;0.06244054;0.06141484;0.040397313;0.018528565;0.030561392;0.026933305;0.018731066;0.022474072;0.032628983;0.040904787;0.018158122;0.020276039;0.043674653;0.033367428;-1.70017;8.81429;-0.739923;-3.25003
2S8;Resting;0.007051815;0.016425505;0.066425672;0.018701188;0.007394144;0.015663026;0.072760472;0.019362714;0.007761282;0.017366737;0.100260956;0.021455306;0.006532415;0.017187831;0.072740192;0.018603754;0.007362603;0.018752874;0.077018154;0.018962165;0.008213506;0.021796002;0.089776754;0.019943062;0.008321746;0.027472204;0.091761955;0.018684129;7.90572;-5.34423;-6.95453;-3.46473
2S9;Resting;0.006461121;0.011724852;0.048258114;0.029166849;0.006597269;0.012888837;0.065735391;0.034380716;0.007682958;0.012605553;0.081196416;0.040319368;0.00643827;0.011193178;0.059761397;0.03304979;0.004554157;0.00905398;0.065815081;0.037620951;0.008496225;0.015560234;0.095871588;0.045089729;0.006968211;0.011773341;0.087169588;0.039119907;5.47109;4.37699;-7.36354;-7.97709
2S10;Resting;0.004902422;0.007917356;0.080046051;0.009615468;0.005731072;0.008561305;0.10293231;0.011169336;0.006007837;0.009530227;0.102223751;0.010858974;0.00367738;0.006828847;0.083579386;0.009818523;0.003600011;0.006799002;0.076763783;0.010439514;0.007574516;0.010393977;0.13424268;0.013761574;0.006489689;0.009410123;0.141589089;0.013574915;12.8105;-9.76414;-8.07194;-10.0752
2S11;Resting;0.027863328;0.023799624;0.018234168;0.02719102;0.029413424;0.026186167;0.020056509;0.029953058;0.033792586;0.02539606;0.020601857;0.02757741;0.024320271;0.020946629;0.017764449;0.02618924;0.025794634;0.022501235;0.022052779;0.039232193;0.040412907;0.031023166;0.02878211;0.032054064;0.033382612;0.02799204;0.027171958;0.042559657;-6.01394;1.79342;4.96048;-0.094701
2S12;Resting;0.004418553;0.014872831;0.06030568;0.007368621;0.004786827;0.015904645;0.081373179;0.00758108;0.006187199;0.018393406;0.090401207;0.007539211;0.004052579;0.016685088;0.0702938;0.00729415;0.005307016;0.01944685;0.087790311;0.006115684;0.006530442;0.02560065;0.139697875;0.009771178;0.00632842;0.029932366;0.12357158;0.010059807;10.2481;-11.6127;-8.05461;-2.89736
2S13;Resting;0.005427338;0.017296859;0.071034367;0.015301688;0.006431154;0.01855525;0.096549833;0.017792074;0.005530665;0.014935766;0.07456258;0.015090474;0.006264123;0.018720381;0.085203576;0.018073917;0.007668744;0.019049455;0.147403277;0.025937317;0.006436579;0.017616479;0.087391227;0.017272536;0.006753651;0.018708606;0.100162077;0.020138436;10.936;-5.85179;-7.54854;-4.56947
S1;Resting Open;0.039375551;0.028000717;0.028604762;0.028824706;0.03776664;0.028919547;0.032492722;0.027337684;0.041322865;0.028018715;0.025488729;0.025310324;0.036746881;0.031142254;0.030955445;0.029995325;0.039857243;0.028366428;0.029102216;0.026855129;0.0304824;0.023267811;0.023801654;0.022620638;0.034297537;0.024519685;0.024642021;0.025081387;-4.43343;-1.34541;8.38928;1.00716
S2;Resting Open;0.027672999;0.039141373;0.027051955;0.033638185;0.027466932;0.039361319;0.027174956;0.033743154;0.026486218;0.039365905;0.028669759;0.040343672;0.024496597;0.03955169;0.024759621;0.028916841;0.024288737;0.040457474;0.02502167;0.029390039;0.025007056;0.038689385;0.024776995;0.028708381;0.024850066;0.038589684;0.02286097;0.024431926;-4.98536;1.17632;2.41923;8.09225
S3;Resting Open;0.042006803;0.02898567;0.020671536;0.034795741;0.037396195;0.027548765;0.021042314;0.037656538;0.041183965;0.027819765;0.019071472;0.036336918;0.039128835;0.02689324;0.022203445;0.035391457;0.041168392;0.032060661;0.024038124;0.044392791;0.038157267;0.025415146;0.018422953;0.030336552;0.034651801;0.023598399;0.020003014;0.031124212;-6.19058;3.58152;9.47654;1.0606
S5;Resting Open;0.021182508;0.02160515;0.052780642;0.025549062;0.020916023;0.019907673;0.068427246;0.030473581;0.020304558;0.019146794;0.07767702;0.030143431;0.021562794;0.022616559;0.047118661;0.024597888;0.020965792;0.019916449;0.046065917;0.025363719;0.017407837;0.017954432;0.05818348;0.024046312;0.019372184;0.018911041;0.040893031;0.021150946;2.1915;-1.80404;-0.360534;-3.28617
S6;Resting Open;0.020002241;0.021968701;0.039790114;0.037719591;0.023986649;0.024196546;0.043408249;0.04500114;0.024532315;0.025971048;0.050991419;0.063553883;0.018648442;0.020785441;0.04676642;0.040642654;0.017698638;0.018275188;0.060940096;0.05020132;0.018998186;0.020023413;0.03563107;0.028453087;0.015385501;0.015717771;0.033260037;0.021465851;-0.597495;6.13236;-0.704923;-2.9383
S7;Resting Open;0.026663581;0.053264925;0.020858661;0.025023305;0.028151045;0.054239567;0.023191238;0.029029422;0.028003324;0.05328809;0.023983855;0.030640372;0.025185905;0.051515584;0.020328555;0.0241442;0.027918236;0.050323118;0.01983655;0.0237695;0.024077549;0.047539524;0.020006474;0.023025399;0.025598939;0.048110195;0.017839363;0.020084207;-6.1608;-2.252;2.82486;14.9273
S10;Resting Open;0.027874785;0.048430407;0.021319757;0.020665008;0.025593235;0.046578498;0.020847522;0.020342191;0.02469374;0.046425067;0.02131472;0.021161188;0.026960723;0.049677964;0.024417714;0.023178863;0.025252023;0.052052166;0.026688591;0.026246403;0.024778749;0.043789359;0.019856026;0.01887278;0.025477526;0.046251367;0.023621153;0.019082008;-5.79387;-4.30336;2.53649;13.0277
S13;Resting Open;0.030459839;0.036119251;0.019219074;0.042448227;0.032162363;0.038530936;0.017890557;0.043666994;0.032844915;0.0389069;0.018988878;0.048162727;0.027531004;0.03513015;0.021651784;0.043044577;0.02609233;0.033292348;0.022717381;0.040993198;0.024789177;0.031278701;0.015562529;0.032640989;0.02608704;0.032488976;0.019406681;0.035573474;-6.53864;6.4888;3.81756;5.41885
S14;Resting Open;0.033478598;0.024685112;0.037215539;0.019114037;0.032379024;0.024734613;0.038481132;0.021983681;0.036989078;0.025514186;0.044514159;0.039281828;0.035182056;0.026704156;0.038963519;0.023381829;0.031305899;0.026607139;0.043891324;0.024249479;0.038376826;0.040943157;0.044035091;0.022891155;0.030639357;0.024950206;0.040774129;0.019305213;-1.44449;-2.80366;6.80354;1.39827
S15;Resting Open;0.009291049;0.016940681;0.07810659;0.027741977;0.008502656;0.019093942;0.097198577;0.033447222;0.009649209;0.018968354;0.088573588;0.03210389;0.008658815;0.016489657;0.067750276;0.025867069;0.008590833;0.017104561;0.069615115;0.025604075;0.008634223;0.018130042;0.06379944;0.022427807;0.007835117;0.015112365;0.052882851;0.019636519;6.72509;-1.39683;-6.30333;-4.93329
