Subject;Test;Band;Eyes open;Eyes closed;Dots left
S3;Resting Open;Alpha Oz;0.012144385;0.021766945;0.01291078
S6;Resting Open;Alpha Oz;0.033499066;0.041029662;0.008577124
S7;Resting Open;Alpha Oz;0.011611305;0.024119723;0.011541563000000001
S10;Resting Open;Alpha Oz;0.02706676;0.045808467;0.014012249
S11;Resting Open;Alpha Oz;0.041751919;0.043514736;0.011986018999999999
S14;Resting Open;Alpha Oz;0.028568202;0.04282063;0.015005325
S15;Resting Open;Alpha Oz;0.057186423;0.053800491;0.018922717
S16;Resting Open;Alpha Oz;0.012274149;0.0418476;0.012045398
S18;Resting Open;Alpha Oz;0.027663142;0.024999392000000002;0.021742405
S21;Resting Open;Alpha Oz;0.016313791;0.015689948999999998;0.010937303999999998
S22;Resting Open;Alpha Oz;0.01682737;0.037655159;0.012030529
S23;Resting Open;Alpha Oz;0.032327642000000004;0.062237364;0.015540702
S24;Resting Open;Alpha Oz;0.01734064;0.048331297999999995;0.010550138999999998
S27;Resting Open;Alpha Oz;0.008240571;0.013375021;0.008159544
S28;Resting Open;Alpha Oz;0.01241755;0.016048869;0.009421008
S29;Resting Open;Alpha Oz;0.011705094;0.01959371;0.008114388
S30;Resting Open;Alpha Oz;0.012288726000000002;0.017489003;0.008363705
S31;Resting Open;Alpha Oz;0.008365093;0.017027337;0.007653485
S32;Resting Open;Alpha Oz;0.013380168000000001;0.018519325;0.011429796
S33;Resting Open;Alpha Oz;0.0115111;0.015535281000000001;0.011833053
S34;Resting Open;Alpha Oz;0.035013882;0.031710936;0.016704397
S36;Resting Open;Alpha Oz;0.009906018;0.013356294;0.009873586
S3;Resting Open;Alpha O1 O2;0.03440572;0.056326602;0.030189925
S6;Resting Open;Alpha O1 O2;0.093823991;0.118601195;0.038625074
S7;Resting Open;Alpha O1 O2;0.037244507;0.066094643;0.037138007
S10;Resting Open;Alpha O1 O2;0.07596863599999999;0.137557693;0.040248478
S11;Resting Open;Alpha O1 O2;0.119942787;0.144872639;0.03300848
S14;Resting Open;Alpha O1 O2;0.06183089;0.11034519599999999;0.062139911
S15;Resting Open;Alpha O1 O2;0.15738403;0.15186514;0.055194067
S16;Resting Open;Alpha O1 O2;0.037742082999999996;0.11554525;0.035247986
S18;Resting Open;Alpha O1 O2;0.057881164000000006;0.062449408;0.052941042
S21;Resting Open;Alpha O1 O2;0.04465602;0.051837580999999994;0.03035174
S22;Resting Open;Alpha O1 O2;0.047904427;0.103871419;0.034746228
S23;Resting Open;Alpha O1 O2;0.084843785;0.150306098;0.04508792599999999
S24;Resting Open;Alpha O1 O2;0.040304972;0.157020037;0.025884156000000002
S27;Resting Open;Alpha O1 O2;0.038273853;0.121144136;0.037092287
S28;Resting Open;Alpha O1 O2;0.051658492;0.09927083199999999;0.028365908999999998
S29;Resting Open;Alpha O1 O2;0.092624784;0.138386699;0.02804071
S30;Resting Open;Alpha O1 O2;0.058712920999999994;0.065560196;0.03180637
S31;Resting Open;Alpha O1 O2;0.030305153999999997;0.080770403;0.040124461
S32;Resting Open;Alpha O1 O2;0.055867111;0.11123938800000001;0.045923755
S33;Resting Open;Alpha O1 O2;0.056511501;0.09491864300000001;0.020251951
S34;Resting Open;Alpha O1 O2;0.151633286;0.15076784199999999;0.068833192
S36;Resting Open;Alpha O1 O2;0.060391811;0.10866199800000001;0.06660656
S3;Resting Open;Alpha PO;0.139352681;0.20767143600000001;0.109701538
S6;Resting Open;Alpha PO;0.293345665;0.41284670100000004;0.148698915
S7;Resting Open;Alpha PO;0.146954253;0.22566104399999998;0.143708257
S10;Resting Open;Alpha PO;0.256713839;0.524517022;0.171122153
S11;Resting Open;Alpha PO;0.48776590200000003;0.67584923;0.117780085
S14;Resting Open;Alpha PO;0.21643143;0.432301986;0.212770202
S15;Resting Open;Alpha PO;0.46415317799999994;0.562091721;0.288590283
S16;Resting Open;Alpha PO;0.1267454;0.429045487;0.115811279
S18;Resting Open;Alpha PO;0.19441556399999999;0.232814745;0.220844137
S21;Resting Open;Alpha PO;0.162176609;0.194916153;0.120861888
S22;Resting Open;Alpha PO;0.16817683;0.338419177;0.127048149
S23;Resting Open;Alpha PO;0.277296108;0.503583607;0.164549072
S24;Resting Open;Alpha PO;0.162976775;0.661172538;0.10358900300000001
S27;Resting Open;Alpha PO;0.209673313;0.689072757;0.20349625300000002
S28;Resting Open;Alpha PO;0.249925676;0.608979694;0.114360306
S29;Resting Open;Alpha PO;0.423521672;0.684758416;0.12417717199999999
S30;Resting Open;Alpha PO;0.292043627;0.30666010899999996;0.15488869800000002
S31;Resting Open;Alpha PO;0.13207808199999999;0.276821098;0.135284555
S32;Resting Open;Alpha PO;0.25551538;0.587118574;0.226165137
S33;Resting Open;Alpha PO;0.23455661600000002;0.478401849;0.19519400399999998
S34;Resting Open;Alpha PO;0.611108019;0.662961266;0.413699124
S36;Resting Open;Alpha PO;0.266413412;0.6685081429999999;0.391072508
