Subject;Test;Band;Eyes open;Eyes closed;Dots left
S3;Resting Open;Theta Oz;0.023325232999999997;0.01049631;0.028090241000000002
S6;Resting Open;Theta Oz;0.014020481000000001;0.00855661;0.012867287
S7;Resting Open;Theta Oz;0.028882351;0.017591141;0.034112062
S10;Resting Open;Theta Oz;0.019072914;0.006527636;0.034860709
S11;Resting Open;Theta Oz;0.015296684;0.003843311;0.032013415
S14;Resting Open;Theta Oz;0.020634885;0.01037674;0.014503743999999999
S15;Resting Open;Theta Oz;0.010834532;0.005744762;0.022016084
S16;Resting Open;Theta Oz;0.03409309;0.012927933999999999;0.03672314
S18;Resting Open;Theta Oz;0.03406522;0.023296114;0.027024699
S21;Resting Open;Theta Oz;0.028183857000000003;0.020463738999999998;0.034849764
S22;Resting Open;Theta Oz;0.026284598;0.015765105;0.028076027000000003
S23;Resting Open;Theta Oz;0.023405106000000002;0.007159861;0.018818891
S24;Resting Open;Theta Oz;0.023636574;0.004239337;0.031529349
S27;Resting Open;Theta Oz;0.012860291000000001;0.002680347;0.014717433
S28;Resting Open;Theta Oz;0.022319952999999997;0.007008487;0.020717951000000002
S29;Resting Open;Theta Oz;0.006176174;0.00197371;0.011631783
S30;Resting Open;Theta Oz;0.008826142;0.007512492;0.011811216000000001
S31;Resting Open;Theta Oz;0.010392531;0.008437596;0.008795218
S32;Resting Open;Theta Oz;0.011787764;0.004579393;0.012951508999999998
S33;Resting Open;Theta Oz;0.005841061;0.0037744709999999997;0.015656612
S34;Resting Open;Theta Oz;0.003446588;0.0031365290000000003;0.009441833
S36;Resting Open;Theta Oz;0.006967581;0.003293983;0.005148617
S3;Resting Open;Theta O1 O2;0.042786639;0.026790373;0.054136015
S6;Resting Open;Theta O1 O2;0.033343082999999996;0.022585806;0.032845315
S7;Resting Open;Theta O1 O2;0.051486375;0.039539245;0.06366686099999999
S10;Resting Open;Theta O1 O2;0.033041994;0.014561255;0.049255977
S11;Resting Open;Theta O1 O2;0.02530723;0.006957364000000001;0.059324087000000005
S14;Resting Open;Theta O1 O2;0.036355505;0.020964498;0.027027242000000003
S15;Resting Open;Theta O1 O2;0.017235803;0.012710171999999999;0.04102529
S16;Resting Open;Theta O1 O2;0.055238743;0.025359846000000002;0.059153992
S18;Resting Open;Theta O1 O2;0.051733375;0.043665313;0.049583287000000004
S21;Resting Open;Theta O1 O2;0.042954598;0.038190596;0.060049331
S22;Resting Open;Theta O1 O2;0.044281568;0.022830147999999998;0.044652553
S23;Resting Open;Theta O1 O2;0.046389907;0.016005237;0.047936812
S24;Resting Open;Theta O1 O2;0.055388243;0.005769961;0.071409263
S27;Resting Open;Theta O1 O2;0.070355707;0.012706779;0.061523747000000004
S28;Resting Open;Theta O1 O2;0.031663843;0.014909263999999998;0.05403321
S29;Resting Open;Theta O1 O2;0.021744481;0.008333435;0.044610888
S30;Resting Open;Theta O1 O2;0.034985659;0.032451675;0.03941999
S31;Resting Open;Theta O1 O2;0.042749518;0.024504712;0.059239117
S32;Resting Open;Theta O1 O2;0.033175261;0.017440235;0.039873607
S33;Resting Open;Theta O1 O2;0.020348701;0.016109767;0.026089622000000003
S34;Resting Open;Theta O1 O2;0.01112078;0.008966884;0.027904692999999998
S36;Resting Open;Theta O1 O2;0.03516797;0.018374783000000002;0.04199091
S3;Resting Open;Theta PO;0.130309221;0.088513093;0.18692059600000002
S6;Resting Open;Theta PO;0.109769505;0.079766671;0.103194995
S7;Resting Open;Theta PO;0.189368194;0.136777704;0.217983974
S10;Resting Open;Theta PO;0.12045892;0.06036522;0.165949926
S11;Resting Open;Theta PO;0.075910771;0.026134156000000002;0.189313696
S14;Resting Open;Theta PO;0.146948073;0.073449957;0.09306239699999999
S15;Resting Open;Theta PO;0.064233137;0.049289473;0.165154713
S16;Resting Open;Theta PO;0.175218266;0.084182865;0.15895332
S18;Resting Open;Theta PO;0.15968100400000002;0.151421047;0.175139233
S21;Resting Open;Theta PO;0.151069222;0.137553516;0.20285878300000001
S22;Resting Open;Theta PO;0.135114346;0.063366393;0.136079363
S23;Resting Open;Theta PO;0.143976348;0.056198371;0.163074862
S24;Resting Open;Theta PO;0.239699017;0.025813075;0.298521376
S27;Resting Open;Theta PO;0.465761461;0.06728356;0.323644579
S28;Resting Open;Theta PO;0.136745361;0.06571928;0.23972047
S29;Resting Open;Theta PO;0.115805016;0.040697727999999996;0.21136281699999998
S30;Resting Open;Theta PO;0.123548222;0.154127923;0.150777664
S31;Resting Open;Theta PO;0.259920638;0.133350771;0.19587634199999998
S32;Resting Open;Theta PO;0.17141341300000001;0.09795713800000001;0.196872397
S33;Resting Open;Theta PO;0.12168413800000001;0.069301526;0.230890732
S34;Resting Open;Theta PO;0.063604838;0.044143077;0.15490299
S36;Resting Open;Theta PO;0.19033256699999998;0.114608505;0.279347158
