Subject;Test;Banda;Power
S2;Resting Open;Delta Oz;0.022551102
S3;Resting Open;Delta Oz;0.038131849
S5;Resting Open;Delta Oz;0.00726165
S6;Resting Open;Delta Oz;0.008174438
S7;Resting Open;Delta Oz;0.02196463
S10;Resting Open;Delta Oz;0.019860365
S11;Resting Open;Delta Oz;0.008332078
S13;Resting Open;Delta Oz;0.020206311
S14;Resting Open;Delta Oz;0.024277496
S16;Resting Open;Delta Oz;0.036566199
S18;Resting Open;Delta Oz;0.02393008
S19;Resting Open;Delta Oz;0.016302474
S20;Resting Open;Delta Oz;0.053466347
S22;Resting Open;Delta Oz;0.028738121
S24;Resting Open;Delta Oz;0.01720517
S25;Resting Open;Delta Oz;0.009942864
S26;Resting Open;Delta Oz;0.009385765
S27;Resting Open;Delta Oz;0.005270254
S28;Resting Open;Delta Oz;0.025708214
S29;Resting Open;Delta Oz;0.005182245
S30;Resting Open;Delta Oz;0.004012352
S31;Resting Open;Delta Oz;0.015583284
S32;Resting Open;Delta Oz;0.006019025
S33;Resting Open;Delta Oz;0.004994765
S34;Resting Open;Delta Oz;0.002034627
S35;Resting Open;Delta Oz;0.013221543
S2;Resting;Delta Oz;0.00708809
S3;Resting;Delta Oz;0.009603331
S5;Resting;Delta Oz;0.004737521
S6;Resting;Delta Oz;0.004962861
S7;Resting;Delta Oz;0.013581522
S10;Resting;Delta Oz;0.00284779
S11;Resting;Delta Oz;0.003175007
S13;Resting;Delta Oz;0.018332777
S14;Resting;Delta Oz;0.008959638
S16;Resting;Delta Oz;0.010626859
S18;Resting;Delta Oz;0.013124302
S19;Resting;Delta Oz;0.006830205
S20;Resting;Delta Oz;0.008402219
S22;Resting;Delta Oz;0.013751014
S24;Resting;Delta Oz;0.004780743
S25;Resting;Delta Oz;0.004165456
S26;Resting;Delta Oz;0.005440595
S27;Resting;Delta Oz;0.001662668
S28;Resting;Delta Oz;0.008127316
S29;Resting;Delta Oz;0.001488676
S30;Resting;Delta Oz;0.004899939
S31;Resting;Delta Oz;0.004907055
S32;Resting;Delta Oz;0.00196603
S33;Resting;Delta Oz;0.002079968
S34;Resting;Delta Oz;0.001942137
S35;Resting;Delta Oz;0.012058261
S2;Acuity;Delta Oz;0.014724969
S3;Acuity;Delta Oz;0.038339899
S5;Acuity;Delta Oz;0.014992474
S6;Acuity;Delta Oz;0.014043116
S7;Acuity;Delta Oz;0.017407212
S10;Acuity;Delta Oz;0.016845279
S11;Acuity;Delta Oz;0.014024686
S13;Acuity;Delta Oz;0.027953411
S14;Acuity;Delta Oz;0.01939369
S16;Acuity;Delta Oz;0.015501576
S18;Acuity;Delta Oz;0.010895379
S19;Acuity;Delta Oz;0.018144009
S20;Acuity;Delta Oz;0.021431233
S22;Acuity;Delta Oz;0.02801826
S24;Acuity;Delta Oz;0.012763761
S25;Acuity;Delta Oz;0.011155154
S26;Acuity;Delta Oz;0.007765243
S27;Acuity;Delta Oz;0.004331257
S28;Acuity;Delta Oz;0.019861087
S29;Acuity;Delta Oz;0.016504727
S30;Acuity;Delta Oz;0.005105951
S31;Acuity;Delta Oz;0.010506396
S32;Acuity;Delta Oz;0.00680803
S33;Acuity;Delta Oz;0.007350398
S34;Acuity;Delta Oz;0.005769929
S35;Acuity;Delta Oz;0.006933547
S2;Resting Open;Theta Oz;0.030489893
S3;Resting Open;Theta Oz;0.023325233
S5;Resting Open;Theta Oz;0.010035258
S6;Resting Open;Theta Oz;0.014020481
S7;Resting Open;Theta Oz;0.028882351
S10;Resting Open;Theta Oz;0.019072914
S11;Resting Open;Theta Oz;0.015296684
S13;Resting Open;Theta Oz;0.026280847
S14;Resting Open;Theta Oz;0.020634885
S16;Resting Open;Theta Oz;0.03409309
S18;Resting Open;Theta Oz;0.03406522
S19;Resting Open;Theta Oz;0.024526574
S20;Resting Open;Theta Oz;0.033812376
S22;Resting Open;Theta Oz;0.026284598
S24;Resting Open;Theta Oz;0.023636574
S25;Resting Open;Theta Oz;0.011478811
S26;Resting Open;Theta Oz;0.019993142
S27;Resting Open;Theta Oz;0.012860291
S28;Resting Open;Theta Oz;0.022319953
S29;Resting Open;Theta Oz;0.006176174
S30;Resting Open;Theta Oz;0.008826142
S31;Resting Open;Theta Oz;0.010392531
S32;Resting Open;Theta Oz;0.011787764
S33;Resting Open;Theta Oz;0.005841061
S34;Resting Open;Theta Oz;0.003446588
S35;Resting Open;Theta Oz;0.009356044
S2;Resting;Theta Oz;0.016946605
S3;Resting;Theta Oz;0.01049631
S5;Resting;Theta Oz;0.006531984
S6;Resting;Theta Oz;0.00855661
S7;Resting;Theta Oz;0.017591141
S10;Resting;Theta Oz;0.006527636
S11;Resting;Theta Oz;0.003843311
S13;Resting;Theta Oz;0.019856003
S14;Resting;Theta Oz;0.01037674
S16;Resting;Theta Oz;0.012927934
S18;Resting;Theta Oz;0.023296114
S19;Resting;Theta Oz;0.015235015
S20;Resting;Theta Oz;0.008893274
S22;Resting;Theta Oz;0.015765105
S24;Resting;Theta Oz;0.004239337
S25;Resting;Theta Oz;0.005867411
S26;Resting;Theta Oz;0.013061512
S27;Resting;Theta Oz;0.002680347
S28;Resting;Theta Oz;0.007008487
S29;Resting;Theta Oz;0.00197371
S30;Resting;Theta Oz;0.007512492
S31;Resting;Theta Oz;0.008437596
S32;Resting;Theta Oz;0.004579393
S33;Resting;Theta Oz;0.003774471
S34;Resting;Theta Oz;0.003136529
S35;Resting;Theta Oz;0.010299634
S2;Acuity;Theta Oz;0.033001323
S3;Acuity;Theta Oz;0.022541294
S5;Acuity;Theta Oz;0.02476401
S6;Acuity;Theta Oz;0.021666364
S7;Acuity;Theta Oz;0.032599234
S10;Acuity;Theta Oz;0.031893335
S11;Acuity;Theta Oz;0.033489083
S13;Acuity;Theta Oz;0.041258681
S14;Acuity;Theta Oz;0.018565468
S16;Acuity;Theta Oz;0.026577176
S18;Acuity;Theta Oz;0.030391605
S19;Acuity;Theta Oz;0.049234771
S20;Acuity;Theta Oz;0.039006256
S22;Acuity;Theta Oz;0.043796062
S24;Acuity;Theta Oz;0.020064267
S25;Acuity;Theta Oz;0.01546554
S26;Acuity;Theta Oz;0.02501099
S27;Acuity;Theta Oz;0.015593043
S28;Acuity;Theta Oz;0.023399389
S29;Acuity;Theta Oz;0.026388014
S30;Acuity;Theta Oz;0.011051485
S31;Acuity;Theta Oz;0.022730762
S32;Acuity;Theta Oz;0.017358642
S33;Acuity;Theta Oz;0.011089097
S34;Acuity;Theta Oz;0.012498595
S35;Acuity;Theta Oz;0.016450593
S2;Resting Open;Alpha Oz;0.025274798
S3;Resting Open;Alpha Oz;0.012144385
S5;Resting Open;Alpha Oz;0.029445792
S6;Resting Open;Alpha Oz;0.033499066
S7;Resting Open;Alpha Oz;0.011611305
S10;Resting Open;Alpha Oz;0.02706676
S11;Resting Open;Alpha Oz;0.041751919
S13;Resting Open;Alpha Oz;0.013373024
S14;Resting Open;Alpha Oz;0.028568202
S16;Resting Open;Alpha Oz;0.012274149
S18;Resting Open;Alpha Oz;0.027663142
S19;Resting Open;Alpha Oz;0.022546162
S20;Resting Open;Alpha Oz;0.02044601
S22;Resting Open;Alpha Oz;0.01682737
S24;Resting Open;Alpha Oz;0.01734064
S25;Resting Open;Alpha Oz;0.007635101
S26;Resting Open;Alpha Oz;0.01882222
S27;Resting Open;Alpha Oz;0.008240571
S28;Resting Open;Alpha Oz;0.01241755
S29;Resting Open;Alpha Oz;0.011705094
S30;Resting Open;Alpha Oz;0.012288726
S31;Resting Open;Alpha Oz;0.008365093
S32;Resting Open;Alpha Oz;0.013380168
S33;Resting Open;Alpha Oz;0.0115111
S34;Resting Open;Alpha Oz;0.035013882
S35;Resting Open;Alpha Oz;0.004253592
S2;Resting;Alpha Oz;0.045249664
S3;Resting;Alpha Oz;0.021766945
S5;Resting;Alpha Oz;0.041419063
S6;Resting;Alpha Oz;0.041029662
S7;Resting;Alpha Oz;0.024119723
S10;Resting;Alpha Oz;0.045808467
S11;Resting;Alpha Oz;0.043514736
S13;Resting;Alpha Oz;0.016593889
S14;Resting;Alpha Oz;0.04282063
S16;Resting;Alpha Oz;0.0418476
S18;Resting;Alpha Oz;0.024999392
S19;Resting;Alpha Oz;0.035233567
S20;Resting;Alpha Oz;0.057777956
S22;Resting;Alpha Oz;0.037655159
S24;Resting;Alpha Oz;0.048331298
S25;Resting;Alpha Oz;0.010399667
S26;Resting;Alpha Oz;0.021706148
S27;Resting;Alpha Oz;0.013375021
S28;Resting;Alpha Oz;0.016048869
S29;Resting;Alpha Oz;0.01959371
S30;Resting;Alpha Oz;0.017489003
S31;Resting;Alpha Oz;0.017027337
S32;Resting;Alpha Oz;0.018519325
S33;Resting;Alpha Oz;0.015535281
S34;Resting;Alpha Oz;0.031710936
S35;Resting;Alpha Oz;0.007891102
S2;Acuity;Alpha Oz;0.018495928
S3;Acuity;Alpha Oz;0.014576523
S5;Acuity;Alpha Oz;0.04521677
S6;Acuity;Alpha Oz;0.012954155
S7;Acuity;Alpha Oz;0.01110594
S10;Acuity;Alpha Oz;0.01588866
S11;Acuity;Alpha Oz;0.02391281
S13;Acuity;Alpha Oz;0.016968659
S14;Acuity;Alpha Oz;0.03106802
S16;Acuity;Alpha Oz;0.018434506
S18;Acuity;Alpha Oz;0.017876651
S19;Acuity;Alpha Oz;0.023802801
S20;Acuity;Alpha Oz;0.018894413
S22;Acuity;Alpha Oz;0.017872176
S24;Acuity;Alpha Oz;0.023258128
S25;Acuity;Alpha Oz;0.008902196
S26;Acuity;Alpha Oz;0.016111197
S27;Acuity;Alpha Oz;0.003672246
S28;Acuity;Alpha Oz;0.012650795
S29;Acuity;Alpha Oz;0.015475233
S30;Acuity;Alpha Oz;0.010465303
S31;Acuity;Alpha Oz;0.010707495
S32;Acuity;Alpha Oz;0.018293235
S33;Acuity;Alpha Oz;0.008441871
S34;Acuity;Alpha Oz;0.01795107
S35;Acuity;Alpha Oz;0.006323689
S2;Resting Open;Beta Oz;0.021902898
S3;Resting Open;Beta Oz;0.025248743
S5;Resting Open;Beta Oz;0.018645704
S6;Resting Open;Beta Oz;0.017309674
S7;Resting Open;Beta Oz;0.012192423
S10;Resting Open;Beta Oz;0.014292371
S11;Resting Open;Beta Oz;0.011634345
S13;Resting Open;Beta Oz;0.036021641
