Subject;Test;Delta Oz;Theta Oz;Alpha Oz;Beta Oz;Delta O1 O2;Theta O1 O2;Alpha O1 O2;Beta O1 O2;Delta PO;Theta PO;Alpha PO;Beta PO;Delta PO L;Theta PO L;Alpha PO L;Beta PO L;Delta PO R;Theta PO R;Alpha PO R;Beta PO R
S2;1;0.016011719;0.021648415;0.017945596;0.015551482;0.019905753;0.027637354;0.046252381;0.04165472;0.072057793;0.082366487;0.192260324;0.151056883;0.021510604;0.029086365;0.049774972;0.045008488;0.019797112;0.027432125;0.05720868;0.037946972
S3;1;0.027320392;0.01671187;0.008701108;0.01809001;0.035760679;0.030655417;0.024650725;0.056899422;0.091447051;0.093362872;0.099842256;0.210007444;0.030161897;0.028938538;0.029851964;0.061004261;0.026246051;0.026861539;0.024354869;0.054860114
S5;1;0.005292956;0.007314616;0.021462792;0.013590698;0.026320696;0.015818393;0.055605571;0.034991585;0.182589611;0.066873639;0.183813735;0.113552388;0.021903593;0.014542522;0.076309054;0.03748734;0.026002919;0.017254587;0.041865729;0.035022274
S6;1;0.005839889;0.010016352;0.023932021;0.01236618;0.009342367;0.023820585;0.067028665;0.046067803;0.041828865;0.078420277;0.209568663;0.183745947;0.013261942;0.024083071;0.064223501;0.055762265;0.006327029;0.015603495;0.070843566;0.034529282
S7;1;0.015901162;0.020909205;0.008405935;0.008826632;0.026867754;0.037273253;0.026962938;0.039653826;0.124783731;0.137091969;0.106386651;0.16896653;0.028837395;0.041296734;0.027708463;0.042487635;0.038194557;0.036021122;0.027575347;0.033265078
S10;1;0.014118719;0.013558921;0.01924174;0.010160436;0.019058599;0.02348953;0.054006049;0.039575407;0.076430532;0.08563416;0.182497683;0.168059259;0.022157346;0.025221915;0.04680914;0.040150448;0.018664339;0.02242182;0.071826781;0.040228906
S11;1;0.005724866;0.01051016;0.02868722;0.007993813;0.011272943;0.017388281;0.082411185;0.022379052;0.036695054;0.052157339;0.335137837;0.074924541;0.010372397;0.017196404;0.085424636;0.019434958;0.011154618;0.017173017;0.126238757;0.025221747
S13;1;0.014466349;0.018815306;0.009574179;0.025789054;0.028621591;0.031535816;0.021787057;0.060625341;0.103996141;0.127563603;0.07631683;0.19293979;0.027591935;0.035115559;0.021762937;0.05890212;0.02950317;0.033695943;0.021493676;0.054519481
S14;1;0.01692502;0.014385579;0.019916279;0.01267054;0.022576972;0.025345186;0.043105312;0.037950532;0.066468806;0.102444629;0.150884847;0.178274251;0.023644356;0.029319526;0.054188091;0.059642641;0.022751735;0.027908689;0.043997189;0.03836788
S16;1;0.026549914;0.024754244;0.00891199;0.011311587;0.032756698;0.040107638;0.027403697;0.047701829;0.104965636;0.127222133;0.09202705;0.175118531;0.042550359;0.037272787;0.025089754;0.040773325;0.029939352;0.03717382;0.019476147;0.039171435
S18;1;0.016651043;0.023703283;0.019248584;0.018523093;0.018622158;0.035997149;0.040274907;0.044468002;0.067468618;0.111109334;0.135278358;0.161712845;0.020520572;0.039353704;0.05326477;0.048344819;0.021177833;0.032573677;0.041600522;0.046388706
S19;1;0.011127125;0.01674042;0.015388705;0.009865096;0.025067588;0.033207662;0.040472303;0.024428324;0.096958097;0.129126657;0.18154802;0.095791063;0.024484296;0.046141568;0.062298167;0.037953423;0.028369909;0.036121253;0.054528301;0.026114358
S20;1;0.039106901;0.024731393;0.014954829;0.013309318;0.02849092;0.031461679;0.042700909;0.046408771;0.079451424;0.080828591;0.150084755;0.178278779;0.028787694;0.029231745;0.046565751;0.044149131;0.023919351;0.023555007;0.033636392;0.038188187
S22;1;0.020101821;0.018385624;0.011770456;0.039206837;0.027074297;0.030974195;0.033508322;0.063539066;0.08443364;0.09451016;0.117636799;0.152007341;0.024348201;0.031988835;0.032744133;0.062265712;0.027628914;0.027686157;0.032654316;0.057467236
S24;1;0.012119496;0.016649843;0.012214923;0.009549229;0.02703594;0.039016041;0.028391232;0.026615739;0.13880104;0.168846423;0.114802496;0.108947647;0.028573258;0.045113037;0.036189997;0.031694061;0.037598807;0.046905294;0.037911813;0.03093736
S25;1;0.007378032;0.008517771;0.005665573;0.01445483;0.018305198;0.023358342;0.020263093;0.043304488;0.14485179;0.151603585;0.094548587;0.20663484;0.022701922;0.025272247;0.020485724;0.052100887;0.020706318;0.025082654;0.02448182;0.065788909
S26;1;0.006781876;0.014446453;0.013600379;0.011806462;0.009736437;0.0401413;0.053513974;0.031131074;0.054517946;0.164158371;0.212960666;0.10736618;0.011407781;0.041772748;0.061495045;0.038392336;0.013539892;0.033939123;0.05140503;0.024420567
S27;1;0.004028292;0.009829698;0.006298638;0.005678865;0.010363309;0.053776027;0.029254425;0.01568052;0.045860733;0.356002409;0.160262733;0.066591557;0.01245053;0.060244443;0.040491128;0.018991309;0.007685085;0.049038569;0.031174158;0.015289485
S28;1;0.018681912;0.016219695;0.009023714;0.008135845;0.029870345;0.02300981;0.037539729;0.027168204;0.141793825;0.09937154;0.181618587;0.132365937;0.041901664;0.034253582;0.048222922;0.036672865;0.020150839;0.01593809;0.044412849;0.031102518
S29;1;0.003903371;0.004652018;0.008816511;0.006384866;0.013984985;0.016378379;0.069766845;0.022660914;0.114313743;0.087226661;0.319005017;0.083540631;0.013304708;0.017253141;0.060987221;0.021830137;0.011432653;0.014236474;0.083931663;0.022695219
S30;1;0.002985266;0.006566819;0.009143048;0.011184324;0.012657851;0.02603;0.043683537;0.054875898;0.055667641;0.091922241;0.217286047;0.209243225;0.010349341;0.021410068;0.047070323;0.047754563;0.009652007;0.018640467;0.053356526;0.04702507
S31;1;0.01189924;0.007935633;0.006387502;0.009424871;0.043034468;0.032643105;0.023140713;0.029527973;0.187237708;0.198472805;0.100853506;0.110608992;0.042087731;0.037783694;0.023317465;0.033929581;0.029030466;0.028904679;0.018854858;0.021662339
