;Test;Delta Oz;Theta Oz;Alpha Oz;Beta Oz;Delta O1 O2;Theta O1 O2;Alpha O1 O2;Beta O1 O2;Delta PO;Theta PO;Alpha PO;Beta PO
S2;Reposo_EEG;0.007088089677792481;0.016946604804741094;0.04524966369433867;0.014242404879071595;0.013497040338765875;0.025654729446155055;0.11554910893860952;0.039144740871371306;0.051973148968140544;0.07907360172641954;0.42853718207165836;0.15455909975713514
S3;Reposo_EEG;0.009603330823574032;0.010496309782680345;0.021766945036499407;0.03201728805682087;0.02131149325916317;0.026790373375378148;0.05632660203229105;0.09743019207307285;0.08324738727049795;0.08851309343978574;0.2076714359552797;0.3422433449791907
S5;Reposo_EEG;0.00473752132754137;0.006531984116693311;0.04141906278573033;0.028535291708369052;0.01488532112056204;0.017417547180793053;0.10521758450342496;0.0758632515554464;0.07156507186875315;0.07409025917847686;0.32684701484865;0.23109961021458644
S6;Reposo_EEG;0.00496286148644383;0.008556610256826134;0.04102966165211498;0.013324856570487618;0.009755707763572282;0.022585806018271447;0.1186011947616176;0.05157894325267282;0.03754929953270487;0.07976667148641045;0.41284670110528254;0.19351328519486619
S7;Reposo_EEG;0.013581522030799044;0.017591140702514833;0.024119722997846853;0.013910509181862733;0.01632725936014067;0.03953924490298788;0.06609464258528355;0.056327385337569084;0.09097360257103755;0.13677770443447204;0.22566104371149256;0.29095922046791106
S10;Reposo_EEG;0.002847789926256387;0.006527635971976965;0.045808466991847444;0.006548071915621362;0.009388464988062223;0.01456125494536497;0.13755769255800449;0.026312697442388698;0.04900796692112818;0.060365220241129385;0.5245170216399698;0.112696049450026
S11;Reposo_EEG;0.0031750068847376444;0.0038433105552576467;0.04351473613337309;0.005305893009854085;0.0054144506750432595;0.006957364017334349;0.14487263859418348;0.013680267202279653;0.017799838708122597;0.0261341555279969;0.6758492296824149;0.052413100296940705
S13;Reposo_EEG;0.018332776823851486;0.019856002675745377;0.01659388921447105;0.03420390838705407;0.03635414994745753;0.03666030097919521;0.04316305698083162;0.09060772115366665;0.1297970893546369;0.14347291709698617;0.14184357006137685;0.2853385336286152
S14;Reposo_EEG;0.008959638074320743;0.010376740449763996;0.0428206300243325;0.010563008567895767;0.020674613507644032;0.0209644978538813;0.11034519600716457;0.03338727343244767;0.07371662263945904;0.07344995680852254;0.4323019856553283;0.15921493665986677
S15;Reposo_EEG;0.0025252229702500593;0.005744761766046587;0.05380049131645503;0.008929759930135714;0.004967414980183581;0.012710171644968873;0.15186513978973298;0.027540129795946392;0.022845730204715947;0.049289472756020185;0.5620917208760234;0.09577325086869692
S16;Reposo_EEG;0.010626858842623262;0.012927934200044741;0.041847600412031005;0.013468487354907462;0.014113667334634898;0.0253598460313492;0.11554524954414538;0.04513743316480124;0.04161485073380822;0.08418286478896936;0.42904548711216856;0.16086428565428715
S18;Reposo_EEG;0.013124302071758673;0.02329611405373336;0.02499939220746946;0.022686419715884684;0.024028523927247407;0.04366531340999143;0.062449407788915966;0.06625306792193943;0.09226701955338498;0.15142104698489003;0.23281474464274693;0.23858859682314873
S19;Reposo_EEG;0.006830205162695625;0.015235014564282143;0.03523356673829308;0.008569738161039812;0.015068868726047386;0.03804965203112658;0.10714966169708422;0.024269409105411727;0.05275926429021723;0.1563260245278405;0.43872264601750105;0.09982365953919954
S20;Reposo_EEG;0.008402218703265362;0.008893274275014119;0.05777795625569046;0.011042151008502164;0.016281961921493993;0.013115621645464072;0.15241681919589983;0.029787960217334552;0.036046411967888076;0.036190462165439405;0.5313023510553726;0.09812291389397487
S21;Reposo_EEG;0.011982842831841489;0.020463738833037367;0.01568994911506694;0.016216511061596495;0.02430811438417595;0.0381905962294994;0.05183758122136283;0.06216641651327825;0.1262433316264467;0.13755351580810385;0.194916153096864;0.2920679901031899
S22;Reposo_EEG;0.01375101447702069;0.015765105116344852;0.037655159329362614;0.05156574231049258;0.018410111734506844;0.022830147563468284;0.10387141939975912;0.07558046645760999;0.07391082824070266;0.06336639321392534;0.3384191768917059;0.17387220938901887
S23;Reposo_EEG;0.007579318875706915;0.0071598610135723655;0.062237364273674586;0.009587316238724077;0.01298112800027604;0.016005237466351158;0.15030609770569436;0.034473488935276415;0.03326075780073966;0.056198371311675197;0.5035836067873346;0.10138633168076416
S24;Reposo_EEG;0.004780742872954405;0.004239337489924896;0.04833129803190684;0.003624238298339639;0.00664110644954749;0.00576996087942585;0.15702003701135778;0.010422992981413477;0.02552689129222661;0.025813074725896144;0.6611725379810471;0.04584323854617081
S25;Reposo_EEG;0.004165456462214139;0.005867411121299593;0.010399667326542463;0.023123028045741317;0.011542341333816824;0.0184049872337083;0.039573403411738775;0.08479453942294736;0.07848959662260246;0.10849168657022305;0.1742069665337819;0.4362315370711655
S26;Reposo_EEG;0.005440594702553388;0.013061512229817145;0.02170614820323468;0.013847598776007075;0.00833774698103699;0.036652237327640586;0.10062673961336396;0.03731837028708748;0.03126817307863221;0.13815891641297584;0.4630974704254472;0.12913032570978053
S27;Reposo_EEG;0.001662667636611795;0.00268034743111191;0.013375020631396716;0.004337896799645587;0.004517662056736384;0.012706778685197226;0.12114413566181342;0.01175121782454973;0.021012899363637344;0.06728355984452589;0.6890727573126421;0.04973344627103687
S28;Reposo_EEG;0.008127316172399769;0.007008487385585234;0.016048869038964516;0.005440212850035947;0.010751467656155608;0.014909263753513856;0.09927083209290254;0.019287126083199164;0.042385074814879846;0.06571927971759887;0.6089796943211488;0.10120110081139874
S29;Reposo_EEG;0.0014886761054493083;0.001973710481613915;0.019593710242839065;0.004557840455049208;0.004567849350567382;0.008333435011854483;0.1383866991334332;0.01607208698517374;0.017732210675504508;0.04069772757634545;0.684758416282856;0.061104445156855244
