;Subject;Test;FCz;FCz Oz;FCz O1;FCz PO8;FCz O2;FCz PO7;FCz PO3;FCz PO4;Oz Oz;Oz O1;Oz PO8;Oz O2;Oz PO7;Oz PO3;Oz PO4;O1 O1;O1 PO8;O1 O2;O1 PO7;O1 PO3;O1 PO4;PO8 PO8;O2 PO8;PO7 PO8;PO3 PO8;PO4 PO8;O2 O2;O2 PO7;O2 PO3;O2 PO4;PO7 PO7;PO7 PO3;PO7 PO4;PO3 PO3;PO3 PO4;PO4 PO4;SCORE_1;SCORE_2;SCORE_3;SCORE_4
0;S2;Resting open;1;0.154788697;0.149912478;0.142910728;0.166666667;0.17791948;0.138784696;0.145286322;1;0.939984996;0.606151538;0.597524381;0.495873968;0.71767942;0.42448112;1;0.615028757;0.595773943;0.492123031;0.719429857;0.423855964;1;0.448237059;0.379969992;0.574018505;0.333833458;1;0.728182046;0.592648162;0.562265566;1;0.483995999;0.565016254;1;0.466116529;1;24.3129;18.5135;15.6819;12.5031
0;S3;Resting open;1;0.158539635;0.131032758;0.140660165;0.148287072;0.14016004;0.114028507;0.132283071;1;0.494498625;0.414103526;0.549762441;0.32508127;0.398349587;0.466741685;1;0.461990498;0.364591148;0.234933733;0.382345586;0.319454864;1;0.295073768;0.211427857;0.323205801;0.268942236;1;0.40260065;0.331082771;0.550887722;1;0.221930483;0.369592398;1;0.355588897;1;1.40871;0.481405;-0.344729;1.74118
0;S5;Resting open;1;0.133283321;0.134658665;0.146661665;0.131282821;0.138034509;0.124156039;0.122405601;1;0.451612903;0.295823956;0.454113528;0.340460115;0.412353088;0.355588897;1;0.478369592;0.279069767;0.264566142;0.452113028;0.241935484;1;0.205676419;0.197674419;0.383345836;0.179169792;1;0.430607652;0.287946987;0.397724431;1;0.232933233;0.331957989;1;0.287446862;1;-3.81033;-2.59122;-2.25188;-1.97691
0;S7;Resting open;1;0.12128032;0.107276819;0.109402351;0.126406602;0.129282321;0.101650413;0.102650663;1;0.530382596;0.507376844;0.562265566;0.392223056;0.487621905;0.43635909;1;0.584396099;0.388347087;0.284446112;0.473868467;0.351962991;1;0.373593398;0.26744186;0.483370843;0.32208052;1;0.53475869;0.395348837;0.486371593;1;0.300700175;0.441110278;1;0.414353588;1;9.55552;6.1146;5.04278;4.82697
0;S10;Resting open;1;0.11227807;0.116154039;0.111777944;0.106151538;0.111902976;0.103525881;0.103525881;1;0.679169792;0.500500125;0.604776194;0.410602651;0.500625156;0.571517879;1;0.709302326;0.426981745;0.306826707;0.593648412;0.413978495;1;0.32308077;0.243935984;0.518504626;0.309327332;1;0.623655914;0.34596149;0.734433608;1;0.255813953;0.554263566;1;0.352963241;1;11.6259;9.80946;9.08966;9.33761
0;S11;Resting open;1;0.142035509;0.133283321;0.127906977;0.139409852;0.13815954;0.110902726;0.118779695;1;0.662915729;0.48712178;0.708302076;0.346711678;0.485871468;0.491122781;1;0.627656914;0.5020005;0.273568392;0.55763941;0.414103526;1;0.378594649;0.234058515;0.530007502;0.324456114;1;0.422980745;0.407976994;0.54576144;1;0.242685671;0.349712428;1;0.425981495;1;10.7413;7.0779;7.22211;6.41062
0;S14;Resting open;1;0.140035009;0.13815954;0.109277319;0.140285071;0.143785946;0.111652913;0.119779945;1;0.372843211;0.213303326;0.394348587;0.293698425;0.329582396;0.331207802;1;0.363590898;0.302325581;0.226931733;0.409102276;0.258189547;1;0.181670418;0.159664916;0.247186797;0.159664916;1;0.380095024;0.285696424;0.38472118;1;0.211927982;0.33395849;1;0.3012003;1;-8.01213;-6.16589;-6.0345;-3.94013
0;S15;Resting open;1;0.113403351;0.11227807;0.109652413;0.125031258;0.136909227;0.0923981;0.089522381;1;0.633908477;0.479994999;0.604026007;0.347711928;0.502875719;0.389472368;1;0.605526382;0.408852213;0.261190298;0.473368342;0.278944736;1;0.322580645;0.219804951;0.456114029;0.245436359;1;0.539384846;0.370717679;0.469867467;1;0.238434609;0.372843211;1;0.389222306;1;5.51685;4.61039;3.81355;2.4999
0;S16;Resting open;1;0.105526382;0.102650663;0.102650663;0.120780195;0.13215804;0.094273568;0.105151288;1;0.527506877;0.43835959;0.482995749;0.307326832;0.391972993;0.322580645;1;0.504876219;0.394723681;0.258564641;0.41247812;0.283195799;1;0.355463866;0.247686922;0.363965991;0.247436859;1;0.445611403;0.339709927;0.389847462;1;0.23355839;0.309702426;1;0.297824456;1;1.41123;0.286318;-0.542715;-1.14204
0;S18;Resting open;1;0.169792448;0.159164791;0.145911478;0.172543136;0.179044761;0.122405601;0.12528132;1;0.649037259;0.474493623;0.552263066;0.385221305;0.43835959;0.343710928;1;0.61227807;0.450612653;0.317454364;0.489997499;0.290447612;1;0.34296074;0.25843961;0.453113278;0.218429607;1;0.545886472;0.325581395;0.395973993;1;0.254938735;0.404226057;1;0.310327582;1;5.46336;4.85098;3.14093;1.53428
0;S19;Resting open;1;0.125531383;0.124156039;0.118029507;0.123780945;0.116904226;0.097649412;0.089147287;1;0.612653163;0.280695174;0.635408852;0.273693423;0.379094774;0.362715679;1;0.396724181;0.412103026;0.205426357;0.467366842;0.258689672;1;0.213803451;0.136909227;0.299449862;0.150037509;1;0.394848712;0.270942736;0.437859465;1;0.153288322;0.276444111;1;0.227431858;1;-6.25608;-3.00533;-3.15679;-2.41185
0;S21;Resting open;1;0.111527882;0.110902726;0.1024006;0.12728182;0.133408352;0.095148787;0.114903726;1;0.475493873;0.422230558;0.503375844;0.330082521;0.392348087;0.380595149;1;0.522005501;0.377094274;0.272818205;0.392473118;0.3032008;1;0.322705676;0.229432358;0.385096274;0.268942236;1;0.431482871;0.338584646;0.429232308;1;0.256314079;0.359589897;1;0.366091523;1;2.63198;0.900498;0.0376336;0.517427
0;S23;Resting open;1;0.122030508;0.128657164;0.123155789;0.12028007;0.139784946;0.114153538;0.121780445;1;0.588397099;0.448862216;0.575393848;0.471367842;0.471492873;0.483495874;1;0.60340085;0.424731183;0.359464866;0.504251063;0.382845711;1;0.33495874;0.293823456;0.447736934;0.309577394;1;0.579394849;0.366591648;0.474993748;1;0.310452613;0.498124531;1;0.420855214;1;10.9448;8.05784;5.55264;6.47876
0;S24;Resting open;1;0.144911228;0.131532883;0.120030008;0.14216054;0.136409102;0.105776444;0.099274819;1;0.549387347;0.348962241;0.611652913;0.41647912;0.401225306;0.452113028;1;0.470742686;0.399349837;0.285696424;0.434983746;0.3072018;1;0.268317079;0.218304576;0.340585146;0.207551888;1;0.61727932;0.306451613;0.536509127;1;0.232433108;0.455988997;1;0.330082521;1;2.18262;3.34521;0.628959;3.09177
0;S27;Resting open;1;0.063265816;0.063390848;0.065391348;0.060390098;0.057764441;0.061265316;0.062265566;1;0.463490873;0.354463616;0.415353838;0.260940235;0.208552138;0.287071768;1;0.492748187;0.352713178;0.239434859;0.230807702;0.263565891;1;0.270692673;0.186296574;0.220305076;0.210802701;1;0.385596399;0.176669167;0.366591648;1;0.132658165;0.280945236;1;0.199924981;1;-7.52965;-5.72717;-7.48645;-5.94716
0;S28;Resting open;1;0.088397099;0.080770193;0.080395099;0.076144036;0.062890723;0.089522381;0.087021755;1;0.212928232;0.224056014;0.228932233;0.137659415;0.253563391;0.195048762;1;0.297949487;0.199674919;0.130532633;0.333083271;0.170167542;1;0.194548637;0.129657414;0.3935984;0.171417854;1;0.266066517;0.215803951;0.341585396;1;0.135533883;0.249937484;1;0.201675419;1;-15.1121;-13.3771;-9.74174;-9.83027
0;S29;Resting open;1;0.073643411;0.074393598;0.07351838;0.072268067;0.071142786;0.103025756;0.089647412;1;0.420980245;0.272193048;0.423355839;0.22468117;0.330832708;0.397724431;1;0.349837459;0.303450863;0.182795699;0.345836459;0.287071768;1;0.196924231;0.149287322;0.279694924;0.185296324;1;0.348962241;0.229932483;0.451862966;1;0.154913728;0.281820455;1;0.331332833;1;-8.03172;-6.68231;-5.8649;-3.51892
0;S30;Resting open;1;0.055013753;0.051637909;0.050887722;0.054513628;0.052763191;0.064766192;0.062390598;1;0.614403601;0.332458115;0.333708427;0.247936984;0.369967492;0.315203801;1;0.498749687;0.227181795;0.192298075;0.406476619;0.23755939;1;0.148412103;0.140535134;0.327206802;0.161290323;1;0.329582396;0.16404101;0.272193048;1;0.158789697;0.383845961;1;0.262815704;1;-8.85286;-6.11834;-4.9874;-5.83317
0;S31;Resting open;1;0.066266567;0.071017754;0.062390598;0.061765441;0.067766942;0.067891973;0.067141785;1;0.401725431;0.335708927;0.330582646;0.221930483;0.348462116;0.297699425;1;0.458114529;0.275693923;0.198924731;0.364341085;0.250687672;1;0.257189297;0.179044761;0.309577394;0.211052763;1;0.301450363;0.269067267;0.297699425;1;0.187046762;0.239184796;1;0.279569892;1;-7.04179;-6.92795;-5.5968;-5.91707
0;S32;Resting open;1;0.063390848;0.065766442;0.066391598;0.062015504;0.06064016;0.071767942;0.067391848;1;0.604526132;0.412228057;0.560890223;0.340460115;0.522630658;0.44136034;1;0.524381095;0.423730933;0.265191298;0.561515379;0.343710928;1;0.305076269;0.214178545;0.42448112;0.237684421;1;0.438234559;0.36584146;0.453113278;1;0.24556139;0.351587897;1;0.402850713;1;4.67391;3.17954;3.53826;2.95781
0;S33;Resting open;1;0.067391848;0.064141035;0.063015754;0.069142286;0.070517629;0.072393098;0.070892723;1;0.499749937;0.342710678;0.344586147;0.220805201;0.418729682;0.322580645;1;0.536134034;0.241810453;0.163665916;0.498499625;0.225056264;1;0.184671168;0.132908227;0.455488872;0.17291823;1;0.337334334;0.224306077;0.483870968;1;0.14716179;0.334708677;1;0.240185046;1;-7.5088;-5.58682;-2.03271;-3.89828
0;S34;Resting open;1;0.060515129;0.069392348;0.071642911;0.067016754;0.067766942;0.088022006;0.103275819;1;0.472493123;0.310952738;0.381595399;0.220055014;0.282070518;0.184046012;1;0.498624656;0.225306327;0.151412853;0.271817954;0.136284071;1;0.157664416;0.115903976;0.266691673;0.110152538;1;0.429607402;0.204926232;0.272068017;1;0.150162541;0.254813703;1;0.225056264;1;-13.1604;-8.7615;-8.74221;-9.49484
0;S35;Resting open;1;0.083395849;0.086271568;0.087021755;0.080145036;0.080020005;0.099649912;0.113903476;1;0.517379345;0.393848462;0.495623906;0.246061515;0.404351088;0.242060515;1;0.522630658;0.367341835;0.199049762;0.441235309;0.216804201;1;0.278194549;0.16704176;0.39659915;0.172793198;1;0.4056014;0.302450613;0.290322581;1;0.18792198;0.247811953;1;0.277694424;1;-4.28999;-3.25188;-2.46917;-4.74204
0;S36;Resting open;1;0.072018005;0.06364091;0.064891223;0.068392098;0.07351838;0.066891723;0.065391348;1;0.494498625;0.296824206;0.442860715;0.235433858;0.405726432;0.306451613;1;0.44636159;0.308827207;0.190172543;0.463115779;0.215303826;1;0.209927482;0.151162791;0.330332583;0.154913728;1;0.365341335;0.274443611;0.388472118;1;0.185796449;0.269567392;1;0.276069017;1;-7.3831;-5.30447;-3.8066;-4.41122
0;S37;Resting open;1;0.072893223;0.070517629;0.071767942;0.070892723;0.069767442;0.082270568;0.087271818;1;0.406101525;0.210927732;0.442985746;0.151412853;0.395223806;0.407101775;1;0.441985496;0.257314329;0.13415854;0.688297074;0.250937734;1;0.15503876;0.107276819;0.389347337;0.147911978;1;0.289197299;0.248187047;0.555888972;1;0.131782946;0.244186047;1;0.273693423;1;-10.0903;-7.66939;-2.30645;-2.73397
0;S2;Resting;1;0.130907727;0.129782446;0.115528882;0.142535634;0.147911978;0.121030258;0.124781195;1;0.948362091;0.616154039;0.598149537;0.481245311;0.718554639;0.436609152;1;0.628407102;0.596024006;0.478369592;0.717179295;0.433983496;1;0.429482371;0.35683921;0.552388097;0.319204801;1;0.757939485;0.604151038;0.628032008;1;0.49299825;0.615028757;1;0.504251063;1;24.5719;19.0657;16.146;13.3562
0;S3;Resting;1;0.136409102;0.127031758;0.114153538;0.116404101;0.128532133;0.104026007;0.115028757;1;0.470742686;0.369092273;0.534883721;0.308577144;0.38472118;0.448612153;1;0.432233058;0.31607902;0.215553888;0.370717679;0.280195049;1;0.245686422;0.172043011;0.323830958;0.228057014;1;0.364966242;0.294573643;0.501625406;1;0.194048512;0.351462866;1;0.295823956;1;-2.88587;-2.24054;-2.44883;-0.5114
