;Subject;Test;FCz;FCz Oz;FCz O1;FCz PO8;FCz O2;FCz PO7;FCz PO3;FCz PO4;Oz Oz;Oz O1;Oz PO8;Oz O2;Oz PO7;Oz PO3;Oz PO4;O1 O1;O1 PO8;O1 O2;O1 PO7;O1 PO3;O1 PO4;PO8 PO8;O2 PO8;PO7 PO8;PO3 PO8;PO4 PO8;O2 O2;O2 PO7;O2 PO3;O2 PO4;PO7 PO7;PO7 PO3;PO7 PO4;PO3 PO3;PO3 PO4;PO4 PO4;SCORE_1;SCORE_2;SCORE_3;SCORE_4
0;S3;Resting Open;1;0.154163541;0.134533633;0.137284321;0.139284821;0.138034509;0.118779695;0.133033258;1;0.49299825;0.405726432;0.528382096;0.304576144;0.372468117;0.461740435;1;0.428857214;0.369217304;0.231557889;0.360965241;0.345211303;1;0.279194799;0.189672418;0.307451863;0.257939485;1;0.356964241;0.298574644;0.505376344;1;0.201675419;0.326206552;1;0.34796199;1;3.4483;0.245228;2.28347;0.925173
0;S5;Resting Open;1;0.094898725;0.108902226;0.11927982;0.101650413;0.11327832;0.098024506;0.084021005;1;0.449487372;0.271192798;0.425606402;0.323580895;0.428107027;0.351087772;1;0.3975994;0.277694424;0.242185546;0.446736684;0.239184796;1;0.179544886;0.169417354;0.321455364;0.162165541;1;0.41847962;0.268317079;0.392473118;1;0.230057514;0.34096024;1;0.26344086;1;-3.86961;-2.34833;-1.21088;-1.22635
0;S6;Resting Open;1;0.114153538;0.102900725;0.092023006;0.125906477;0.137659415;0.103150788;0.110402601;1;0.509627407;0.286446612;0.437109277;0.293448362;0.409602401;0.423980995;1;0.354713678;0.356339085;0.254938735;0.455363841;0.353213303;1;0.224056014;0.173043261;0.34396099;0.219054764;1;0.438109527;0.303700925;0.491872968;1;0.238809702;0.379219805;1;0.347586897;1;1.56875;0.290813;2.94284;0.689398
0;S10;Resting Open;1;0.103275819;0.096899225;0.095273818;0.105526382;0.112778195;0.1004001;0.10340085;1;0.653663416;0.469242311;0.572393098;0.366466617;0.525381345;0.553888472;1;0.685296324;0.387971993;0.271192798;0.656789197;0.389847462;1;0.29619905;0.221180295;0.555513878;0.293698425;1;0.577269317;0.333708427;0.722305576;1;0.239059765;0.494248562;1;0.34496124;1;13.0676;13.3744;11.7347;7.43515
0;S14;Resting Open;1;0.128407102;0.122780695;0.106276569;0.12428107;0.138534634;0.102525631;0.115028757;1;0.351587897;0.197674419;0.35483871;0.292948237;0.319954989;0.350087522;1;0.311702926;0.295948987;0.235933983;0.373218305;0.284446112;1;0.161540385;0.147286822;0.204551138;0.16204051;1;0.312828207;0.261940485;0.341460365;1;0.21467867;0.304076019;1;0.308327082;1;-7.04281;-7.51272;-3.58671;-3.93147
0;S15;Resting Open;1;0.11527882;0.113153288;0.127031758;0.123780945;0.125031258;0.089522381;0.087021755;1;0.594273568;0.425356339;0.6004001;0.327456864;0.431357839;0.323205801;1;0.568642161;0.385971493;0.251687922;0.415353838;0.231432858;1;0.285946487;0.205926482;0.382470618;0.190422606;1;0.498499625;0.339084771;0.395473868;1;0.22068017;0.298324581;1;0.368717179;1;4.53861;3.279;0.973218;3.33681
0;S16;Resting Open;1;0.126656664;0.114403601;0.117904476;0.132908227;0.139409852;0.110152538;0.111277819;1;0.453363341;0.402225556;0.431982996;0.319704926;0.363215804;0.342835709;1;0.440735184;0.340585146;0.246186547;0.381595399;0.290947737;1;0.316829207;0.24656164;0.369217304;0.263315829;1;0.404476119;0.307701925;0.3975994;1;0.231932983;0.301575394;1;0.313203301;1;3.38934;-0.10726;0.367768;-0.0131154
0;S21;Resting Open;1;0.121655414;0.111027757;0.104776194;0.138034509;0.141910478;0.100150038;0.118904726;1;0.503125781;0.411227807;0.524131033;0.362965741;0.395098775;0.409352338;1;0.503875969;0.360715179;0.252563141;0.387846962;0.2931983;1;0.304951238;0.218304576;0.366216554;0.25943986;1;0.469992498;0.318579645;0.443610903;1;0.241810453;0.376344086;1;0.363340835;1;6.04196;2.37119;3.0976;2.69152
0;S22;Resting Open;1;0.196424106;0.190297574;0.192673168;0.186171543;0.195673918;0.155663916;0.15503876;1;0.569142286;0.499249812;0.58652163;0.438609652;0.459864966;0.455488872;1;0.582395599;0.506376594;0.374093523;0.436109027;0.387471868;1;0.437859465;0.346211553;0.41447862;0.33595899;1;0.536259065;0.447486872;0.533133283;1;0.36684171;0.465991498;1;0.46124031;1;21.4619;10.0634;11.4066;9.49711
0;S23;Resting Open;1;0.123530883;0.124406102;0.12128032;0.127531883;0.133033258;0.11327832;0.113403351;1;0.574268567;0.434483621;0.556889222;0.444986247;0.427856964;0.442110528;1;0.58452113;0.405726432;0.347336834;0.460615154;0.352588147;1;0.313703426;0.273943486;0.421605401;0.286446612;1;0.565266317;0.332583146;0.467866967;1;0.297824456;0.478619655;1;0.378469617;1;13.1497;7.1373;8.14933;6.72402
