;Subject;Test;FCz;FCz Oz;FCz O1;FCz PO8;FCz O2;FCz PO7;FCz PO3;FCz PO4;Oz Oz;Oz O1;Oz PO8;Oz O2;Oz PO7;Oz PO3;Oz PO4;O1 O1;O1 PO8;O1 O2;O1 PO7;O1 PO3;O1 PO4;PO8 PO8;O2 PO8;PO7 PO8;PO3 PO8;PO4 PO8;O2 O2;O2 PO7;O2 PO3;O2 PO4;PO7 PO7;PO7 PO3;PO7 PO4;PO3 PO3;PO3 PO4;PO4 PO4;SCORE_1;SCORE_2;SCORE_3;SCORE_4
0;S2;Resting open;1;0.154788697;0.149912478;0.142910728;0.166666667;0.17791948;0.138784696;0.145286322;1;0.939984996;0.606151538;0.597524381;0.495873968;0.71767942;0.42448112;1;0.615028757;0.595773943;0.492123031;0.719429857;0.423855964;1;0.448237059;0.379969992;0.574018505;0.333833458;1;0.728182046;0.592648162;0.562265566;1;0.483995999;0.565016254;1;0.466116529;1;29.3313;18.819;18.5063;14.6765
0;S3;Resting open;1;0.158539635;0.131032758;0.140660165;0.148287072;0.14016004;0.114028507;0.132283071;1;0.494498625;0.414103526;0.549762441;0.32508127;0.398349587;0.466741685;1;0.461990498;0.364591148;0.234933733;0.382345586;0.319454864;1;0.295073768;0.211427857;0.323205801;0.268942236;1;0.40260065;0.331082771;0.550887722;1;0.221930483;0.369592398;1;0.355588897;1;4.79679;2.2978;0.806772;4.13719
0;S5;Resting open;1;0.133283321;0.134658665;0.146661665;0.131282821;0.138034509;0.124156039;0.122405601;1;0.451612903;0.295823956;0.454113528;0.340460115;0.412353088;0.355588897;1;0.478369592;0.279069767;0.264566142;0.452113028;0.241935484;1;0.205676419;0.197674419;0.383345836;0.179169792;1;0.430607652;0.287946987;0.397724431;1;0.232933233;0.331957989;1;0.287446862;1;-0.978859;-0.496203;-0.448083;-0.345784
0;S14;Resting open;1;0.140035009;0.13815954;0.109277319;0.140285071;0.143785946;0.111652913;0.119779945;1;0.372843211;0.213303326;0.394348587;0.293698425;0.329582396;0.331207802;1;0.363590898;0.302325581;0.226931733;0.409102276;0.258189547;1;0.181670418;0.159664916;0.247186797;0.159664916;1;0.380095024;0.285696424;0.38472118;1;0.211927982;0.33395849;1;0.3012003;1;-5.67617;-4.10326;-4.62831;-1.9396
0;S15;Resting open;1;0.113403351;0.11227807;0.109652413;0.125031258;0.136909227;0.0923981;0.089522381;1;0.633908477;0.479994999;0.604026007;0.347711928;0.502875719;0.389472368;1;0.605526382;0.408852213;0.261190298;0.473368342;0.278944736;1;0.322580645;0.219804951;0.456114029;0.245436359;1;0.539384846;0.370717679;0.469867467;1;0.238434609;0.372843211;1;0.389222306;1;9.25678;6.51765;5.69588;4.16748
0;S16;Resting open;1;0.105526382;0.102650663;0.102650663;0.120780195;0.13215804;0.094273568;0.105151288;1;0.527506877;0.43835959;0.482995749;0.307326832;0.391972993;0.322580645;1;0.504876219;0.394723681;0.258564641;0.41247812;0.283195799;1;0.355463866;0.247686922;0.363965991;0.247436859;1;0.445611403;0.339709927;0.389847462;1;0.23355839;0.309702426;1;0.297824456;1;4.61381;1.96744;0.921291;0.410526
0;S18;Resting open;1;0.169792448;0.159164791;0.145911478;0.172543136;0.179044761;0.122405601;0.12528132;1;0.649037259;0.474493623;0.552263066;0.385221305;0.43835959;0.343710928;1;0.61227807;0.450612653;0.317454364;0.489997499;0.290447612;1;0.34296074;0.25843961;0.453113278;0.218429607;1;0.545886472;0.325581395;0.395973993;1;0.254938735;0.404226057;1;0.310327582;1;9.17365;6.49298;5.09293;2.85893
0;S19;Resting open;1;0.125531383;0.124156039;0.118029507;0.123780945;0.116904226;0.097649412;0.089147287;1;0.612653163;0.280695174;0.635408852;0.273693423;0.379094774;0.362715679;1;0.396724181;0.412103026;0.205426357;0.467366842;0.258689672;1;0.213803451;0.136909227;0.299449862;0.150037509;1;0.394848712;0.270942736;0.437859465;1;0.153288322;0.276444111;1;0.227431858;1;-3.65872;-1.19716;-2.04252;-0.312419
0;S22;Resting open;1;0.246936734;0.232933233;0.239309827;0.24556139;0.244436109;0.207176794;0.205926482;1;0.672168042;0.581645411;0.66204051;0.52588147;0.488122031;0.523380845;1;0.628782196;0.544386097;0.445486372;0.484621155;0.450737684;1;0.498124531;0.423605901;0.459364841;0.392098025;1;0.609152288;0.448487122;0.560140035;1;0.383220805;0.481620405;1;0.48112028;1;26.185;15.2073;11.5954;13.1389
0;S24;Resting open;1;0.144911228;0.131532883;0.120030008;0.14216054;0.136409102;0.105776444;0.099274819;1;0.549387347;0.348962241;0.611652913;0.41647912;0.401225306;0.452113028;1;0.470742686;0.399349837;0.285696424;0.434983746;0.3072018;1;0.268317079;0.218304576;0.340585146;0.207551888;1;0.61727932;0.306451613;0.536509127;1;0.232433108;0.455988997;1;0.330082521;1;5.67995;5.16661;2.00678;5.42936
0;S26;Resting open;1;0.084021005;0.091647912;0.084146037;0.078144536;0.069517379;0.093648412;0.087271818;1;0.31507877;0.231682921;0.25343836;0.129907477;0.257939485;0.227931983;1;0.409102276;0.272943236;0.129907477;0.424606152;0.254563641;1;0.197174294;0.111902976;0.297074269;0.182795699;1;0.179669917;0.234933733;0.308827207;1;0.126531633;0.163290823;1;0.250812703;1;-11.622;-10.1297;-7.10827;-7.78152
0;S27;Resting open;1;0.063265816;0.063390848;0.065391348;0.060390098;0.057764441;0.061265316;0.062265566;1;0.463490873;0.354463616;0.415353838;0.260940235;0.208552138;0.287071768;1;0.492748187;0.352713178;0.239434859;0.230807702;0.263565891;1;0.270692673;0.186296574;0.220305076;0.210802701;1;0.385596399;0.176669167;0.366591648;1;0.132658165;0.280945236;1;0.199924981;1;-4.78126;-3.61801;-6.66734;-4.61672
0;S29;Resting open;1;0.073643411;0.074393598;0.07351838;0.072268067;0.071142786;0.103025756;0.089647412;1;0.420980245;0.272193048;0.423355839;0.22468117;0.330832708;0.397724431;1;0.349837459;0.303450863;0.182795699;0.345836459;0.287071768;1;0.196924231;0.149287322;0.279694924;0.185296324;1;0.348962241;0.229932483;0.451862966;1;0.154913728;0.281820455;1;0.331332833;1;-5.56918;-4.5624;-4.73367;-1.30009
0;S30;Resting open;1;0.055013753;0.051637909;0.050887722;0.054513628;0.052763191;0.064766192;0.062390598;1;0.614403601;0.332458115;0.333708427;0.247936984;0.369967492;0.315203801;1;0.498749687;0.227181795;0.192298075;0.406476619;0.23755939;1;0.148412103;0.140535134;0.327206802;0.161290323;1;0.329582396;0.16404101;0.272193048;1;0.158789697;0.383845961;1;0.262815704;1;-6.37645;-3.8748;-3.11905;-4.66655
0;S31;Resting open;1;0.066266567;0.071017754;0.062390598;0.061765441;0.067766942;0.067891973;0.067141785;1;0.401725431;0.335708927;0.330582646;0.221930483;0.348462116;0.297699425;1;0.458114529;0.275693923;0.198924731;0.364341085;0.250687672;1;0.257189297;0.179044761;0.309577394;0.211052763;1;0.301450363;0.269067267;0.297699425;1;0.187046762;0.239184796;1;0.279569892;1;-4.56855;-4.80864;-4.12182;-4.59074
0;S32;Resting open;1;0.063390848;0.065766442;0.066391598;0.062015504;0.06064016;0.071767942;0.067391848;1;0.604526132;0.412228057;0.560890223;0.340460115;0.522630658;0.44136034;1;0.524381095;0.423730933;0.265191298;0.561515379;0.343710928;1;0.305076269;0.214178545;0.42448112;0.237684421;1;0.438234559;0.36584146;0.453113278;1;0.24556139;0.351587897;1;0.402850713;1;8.25164;4.74628;5.43438;4.98245
0;S33;Resting open;1;0.067391848;0.064141035;0.063015754;0.069142286;0.070517629;0.072393098;0.070892723;1;0.499749937;0.342710678;0.344586147;0.220805201;0.418729682;0.322580645;1;0.536134034;0.241810453;0.163665916;0.498499625;0.225056264;1;0.184671168;0.132908227;0.455488872;0.17291823;1;0.337334334;0.224306077;0.483870968;1;0.14716179;0.334708677;1;0.240185046;1;-4.99169;-3.17163;-0.127296;-2.46118
