;Subject;Test;FCz;FCz Oz;FCz O1;FCz PO8;FCz O2;FCz PO7;FCz PO3;FCz PO4;Oz Oz;Oz O1;Oz PO8;Oz O2;Oz PO7;Oz PO3;Oz PO4;O1 O1;O1 PO8;O1 O2;O1 PO7;O1 PO3;O1 PO4;PO8 PO8;O2 PO8;PO7 PO8;PO3 PO8;PO4 PO8;O2 O2;O2 PO7;O2 PO3;O2 PO4;PO7 PO7;PO7 PO3;PO7 PO4;PO3 PO3;PO3 PO4;PO4 PO4;SCORE_1;SCORE_2;SCORE_3;SCORE_4
0;S1;Resting Open;1;0.170417604;0.155288822;0.158289572;0.154913728;0.202925731;0.147536884;0.171417854;1;0.493123281;0.369717429;0.400850213;0.414853713;0.483245811;0.499124781;1;0.539384846;0.309827457;0.322955739;0.557889472;0.395223806;1;0.245686422;0.273693423;0.451112778;0.302450613;1;0.423730933;0.321830458;0.48612153;1;0.328582146;0.535383846;1;0.467741935;1;9.86669;4.38191;5.48799;6.50457
0;S2;Resting Open;1;0.129782446;0.129532383;0.120030008;0.146036509;0.15703926;0.127656914;0.136409102;1;0.940235059;0.581020255;0.569892473;0.449737434;0.702425606;0.424106027;1;0.593898475;0.562265566;0.44436109;0.709052263;0.420105026;1;0.400850213;0.321705426;0.546511628;0.30420105;1;0.729182296;0.569767442;0.603900975;1;0.451737934;0.575393848;1;0.469867467;1;24.9823;16.169;16.1654;12.5001
0;S3;Resting Open;1;0.142910728;0.139534884;0.134783696;0.149662416;0.143535884;0.118529632;0.135033758;1;0.470867717;0.386221555;0.544511128;0.326206552;0.404351088;0.458489622;1;0.405476369;0.354713678;0.243435859;0.372468117;0.322955739;1;0.284196049;0.201050263;0.329082271;0.26744186;1;0.374468617;0.328457114;0.499874969;1;0.216179045;0.354213553;1;0.347836959;1;2.95958;1.20049;-0.322314;1.98525
0;S7;Resting Open;1;0.131907977;0.116029007;0.110402601;0.139284821;0.144661165;0.094773693;0.120780195;1;0.598899725;0.546886722;0.586896724;0.41647912;0.471117779;0.496374094;1;0.647411853;0.460865216;0.32508127;0.486496624;0.423605901;1;0.411102776;0.290447612;0.500250063;0.380970243;1;0.577144286;0.397474369;0.55563891;1;0.308077019;0.496874219;1;0.444861215;1;17.7707;10.1738;8.84257;9.27548
0;S10;Resting Open;1;0.106151538;0.10540135;0.101150288;0.111277819;0.125156289;0.095648912;0.105026257;1;0.666916729;0.493248312;0.587896974;0.399224806;0.571892973;0.565891473;1;0.708552138;0.404976244;0.299074769;0.718804701;0.412603151;1;0.309452363;0.242685671;0.618779695;0.311577894;1;0.602025506;0.363590898;0.712178045;1;0.263940985;0.524006002;1;0.377594399;1;15.2193;10.1644;12.3691;10.9425
0;S13;Resting Open;1;0.158414604;0.151912978;0.139034759;0.153788447;0.151912978;0.13315829;0.14316079;1;0.557764441;0.423855964;0.552888222;0.374343586;0.41347837;0.486871718;1;0.621155289;0.407101775;0.287071768;0.490247562;0.368217054;1;0.319454864;0.232308077;0.438609652;0.288197049;1;0.539884971;0.361215304;0.642410603;1;0.279944986;0.52488122;1;0.409227307;1;10.8197;6.91547;5.92595;7.24744
0;S14;Resting Open;1;0.134283571;0.133033258;0.108027007;0.13515879;0.148162041;0.11327832;0.117904476;1;0.388972243;0.224056014;0.425731433;0.330832708;0.329582396;0.386971743;1;0.355213803;0.318829707;0.258939735;0.397224306;0.292698175;1;0.189047262;0.162290573;0.243685921;0.172293073;1;0.462990748;0.262565641;0.411852963;1;0.216804201;0.345086272;1;0.30420105;1;-4.04424;-2.33628;-4.26504;-1.46298
0;S18;Resting Open;1;0.169542386;0.16404101;0.148537134;0.173543386;0.175043761;0.126781695;0.134283571;1;0.663540885;0.474368592;0.570017504;0.395098775;0.486496624;0.370467617;1;0.629032258;0.462865716;0.31307827;0.527131783;0.30620155;1;0.341210303;0.244311078;0.445861465;0.235808952;1;0.570517629;0.365466367;0.45323831;1;0.256939235;0.446236559;1;0.331457864;1;10.0426;7.33008;5.93611;4.21858
0;S21;Resting Open;1;0.124156039;0.110152538;0.114153538;0.132408102;0.128407102;0.09739935;0.108402101;1;0.441860465;0.449487372;0.523130783;0.331207802;0.381845461;0.373843461;1;0.459864966;0.340460115;0.242685671;0.322955739;0.278694674;1;0.328832208;0.22268067;0.348837209;0.252813203;1;0.403350838;0.317454364;0.415978995;1;0.230057514;0.310827707;1;0.342710678;1;2.98062;1.11417;-1.02889;0.150457
0;S22;Resting Open;1;0.195298825;0.189047262;0.202925731;0.195173793;0.208552138;0.15203801;0.151537884;1;0.629282321;0.518629657;0.608527132;0.458364591;0.429357339;0.472743186;1;0.591022756;0.474368592;0.373343336;0.435608902;0.392723181;1;0.415103776;0.330832708;0.383970993;0.323205801;1;0.553013253;0.377969492;0.512753188;1;0.307701925;0.411977994;1;0.407726932;1;15.8246;9.49239;6.21374;7.38237
0;S24;Resting Open;1;0.123655914;0.118529632;0.119529882;0.123155789;0.117654414;0.096649162;0.096649162;1;0.475493873;0.334333583;0.583145786;0.393348337;0.377594399;0.394848712;1;0.495748937;0.331832958;0.240935234;0.364466117;0.227806952;1;0.245186297;0.194048512;0.300325081;0.171917979;1;0.576019005;0.292448112;0.4979995;1;0.226056514;0.417229307;1;0.300075019;1;0.581374;2.37762;-1.14004;1.00118
0;S25;Resting Open;1;0.081645411;0.084271068;0.075643911;0.080770193;0.069642411;0.102150538;0.093898475;1;0.48712178;0.195173793;0.392973243;0.227181795;0.41747937;0.374218555;1;0.293698425;0.222930733;0.151162791;0.510002501;0.229557389;1;0.134783696;0.117529382;0.281445361;0.138409602;1;0.425606402;0.21867967;0.425356339;1;0.163165791;0.346211553;1;0.291697924;1;-9.25284;-5.09059;-4.18651;-3.23614
0;S26;Resting Open;1;0.069517379;0.080895224;0.074643661;0.06464116;0.063890973;0.081020255;0.076769192;1;0.316454114;0.227806952;0.267316829;0.150912728;0.251812953;0.259064766;1;0.403225806;0.274818705;0.144786197;0.42748187;0.278444611;1;0.189797449;0.128157039;0.287696924;0.185046262;1;0.191672918;0.23355839;0.332333083;1;0.14016004;0.163665916;1;0.266316579;1;-10.9887;-9.08242;-7.2372;-7.12303
0;S27;Resting Open;1;0.071392848;0.069017254;0.074268567;0.072643161;0.07851963;0.069767442;0.070267567;1;0.439609902;0.327456864;0.405976494;0.256314079;0.221305326;0.290947737;1;0.474618655;0.331082771;0.218054514;0.276569142;0.255063766;1;0.249562391;0.178544636;0.276819205;0.204426107;1;0.400100025;0.193298325;0.35483871;1;0.137284321;0.249187297;1;0.222180545;1;-5.92479;-3.93132;-6.22347;-4.93267
0;S28;Resting Open;1;0.070767692;0.0963991;0.093773443;0.082770693;0.073393348;0.107651913;0.089397349;1;0.216554139;0.200550138;0.200300075;0.139534884;0.232683171;0.178794699;1;0.325206302;0.219054764;0.149412353;0.32208052;0.199424856;1;0.210177544;0.136409102;0.382970743;0.196174044;1;0.26444111;0.240185046;0.336334084;1;0.158664666;0.249062266;1;0.230432608;1;-12.3812;-10.1378;-8.576;-8.30679
0;S29;Resting Open;1;0.087146787;0.094148537;0.087271818;0.084146037;0.08752188;0.118404601;0.10140035;1;0.464741185;0.308077019;0.43935984;0.225806452;0.359589897;0.414353588;1;0.430482621;0.304826207;0.196174044;0.441485371;0.311577894;1;0.226056514;0.168042011;0.332583146;0.219554889;1;0.370842711;0.255813953;0.491622906;1;0.176294074;0.310577644;1;0.334208552;1;-2.56213;-2.25745;-1.87063;-0.567943
0;S30;Resting Open;1;0.069267317;0.068892223;0.065141285;0.058264566;0.060390098;0.083270818;0.078769692;1;0.591522881;0.310077519;0.30420105;0.240310078;0.370092523;0.32308077;1;0.482870718;0.206051513;0.173668417;0.421105276;0.228057014;1;0.141785446;0.131907977;0.329457364;0.156664166;1;0.334458615;0.161790448;0.274443611;1;0.156414104;0.391847962;1;0.271942986;1;-8.00307;-5.01795;-3.97306;-5.00872
0;S31;Resting Open;1;0.076894224;0.070017504;0.071142786;0.071267817;0.065516379;0.074268567;0.080645161;1;0.338084521;0.294948737;0.355963991;0.164791198;0.34696174;0.328332083;1;0.427356839;0.22268067;0.143035759;0.386596649;0.211052763;1;0.196299075;0.12428107;0.343710928;0.189797449;1;0.266316579;0.238184546;0.279944986;1;0.139409852;0.156664166;1;0.320455114;1;-9.20346;-7.30367;-5.91144;-6.18298
0;S32;Resting Open;1;0.070892723;0.073143286;0.073768442;0.073393348;0.069017254;0.07751938;0.072018005;1;0.597899475;0.390722681;0.487996999;0.312203051;0.465366342;0.435483871;1;0.542385596;0.374843711;0.25843961;0.53675919;0.357714429;1;0.278944736;0.207426857;0.407726932;0.244436109;1;0.402850713;0.311077769;0.390472618;1;0.213928482;0.306826707;1;0.40460115;1;5.0006;2.29809;3.0671;2.19
0;S33;Resting Open;1;0.061765441;0.06164041;0.061515379;0.058389597;0.060515129;0.071392848;0.06064016;1;0.492748187;0.323205801;0.346461615;0.200175044;0.404351088;0.309577394;1;0.498749687;0.220930233;0.145786447;0.481245311;0.205551388;1;0.159414854;0.11327832;0.394348587;0.151412853;1;0.306326582;0.209427357;0.448862216;1;0.136659165;0.2931983;1;0.238809702;1;-8.56887;-5.25578;-2.81774;-4.42568
0;S34;Resting Open;1;0.07551888;0.071517879;0.067266817;0.084896224;0.078769692;0.085771443;0.112528132;1;0.457739435;0.296699175;0.378094524;0.186546637;0.287071768;0.222555639;1;0.465491373;0.244186047;0.13715929;0.287571893;0.16004001;1;0.190547637;0.120405101;0.311702926;0.143410853;1;0.410977744;0.205426357;0.305451363;1;0.13715929;0.26044011;1;0.234808702;1;-10.536;-6.09933;-7.04067;-7.49347
0;S35;Resting Open;1;0.081395349;0.08552138;0.079394849;0.074393598;0.083395849;0.095648912;0.11227807;1;0.50500125;0.398849712;0.498499625;0.249187297;0.419854964;0.231807952;1;0.490747687;0.349087272;0.195173793;0.441110278;0.196674169;1;0.276069017;0.163415854;0.372968242;0.154663666;1;0.396349087;0.315453863;0.27931983;1;0.199674919;0.268942236;1;0.259564891;1;-2.86831;-1.35216;-1.83441;-4.20387
0;S36;Resting Open;1;0.058389597;0.05763941;0.062015504;0.056764191;0.056389097;0.056139035;0.057139285;1;0.477619405;0.313828457;0.470742686;0.245311328;0.374343586;0.30020005;1;0.436484121;0.337834459;0.199674919;0.409352338;0.236809202;1;0.239059765;0.168917229;0.320455114;0.175043761;1;0.335208802;0.282570643;0.364966242;1;0.192298075;0.276444111;1;0.276194049;1;-4.1335;-2.69137;-3.18434;-3.43647
0;S37;Resting Open;1;0.077644411;0.077894474;0.080020005;0.064766192;0.054013503;0.088647162;0.075893973;1;0.410602651;0.223430858;0.381595399;0.124781195;0.396474119;0.388722181;1;0.451612903;0.220930233;0.102650663;0.677169292;0.239184796;1;0.146286572;0.099274819;0.41447862;0.153413353;1;0.243935984;0.214178545;0.517504376;1;0.095023756;0.19779945;1;0.26144036;1;-10.599;-7.05981;-2.12873;-3.51184
0;S1;Resting;1;0.096899225;0.104651163;0.113653413;0.105026257;0.139909977;0.084896224;0.100775194;1;0.506751688;0.305326332;0.418854714;0.328832208;0.509627407;0.456114029;1;0.490997749;0.3072018;0.248312078;0.55763941;0.316329082;1;0.217804451;0.206926732;0.38372093;0.228557139;1;0.435108777;0.31807952;0.540135034;1;0.244936234;0.466866717;1;0.382970743;1;3.10463;1.70885;2.89565;3.44795
0;S2;Resting;1;0.130907727;0.129782446;0.115528882;0.142535634;0.147911978;0.121030258;0.124781195;1;0.948362091;0.616154039;0.598149537;0.481245311;0.718554639;0.436609152;1;0.628407102;0.596024006;0.478369592;0.717179295;0.433983496;1;0.429482371;0.35683921;0.552388097;0.319204801;1;0.757939485;0.604151038;0.628032008;1;0.49299825;0.615028757;1;0.504251063;1;28.7368;18.4744;17.9277;14.3609
0;S3;Resting;1;0.136409102;0.127031758;0.114153538;0.116404101;0.128532133;0.104026007;0.115028757;1;0.470742686;0.369092273;0.534883721;0.308577144;0.38472118;0.448612153;1;0.432233058;0.31607902;0.215553888;0.370717679;0.280195049;1;0.245686422;0.172043011;0.323830958;0.228057014;1;0.364966242;0.294573643;0.501625406;1;0.194048512;0.351462866;1;0.295823956;1;-0.484155;-0.239908;-1.5374;0.453624
