;Subject;Test;FCz;FCz Oz;FCz O1;FCz PO8;FCz O2;FCz PO7;FCz PO3;FCz PO4;Oz Oz;Oz O1;Oz PO8;Oz O2;Oz PO7;Oz PO3;Oz PO4;O1 O1;O1 PO8;O1 O2;O1 PO7;O1 PO3;O1 PO4;PO8 PO8;O2 PO8;PO7 PO8;PO3 PO8;PO4 PO8;O2 O2;O2 PO7;O2 PO3;O2 PO4;PO7 PO7;PO7 PO3;PO7 PO4;PO3 PO3;PO3 PO4;PO4 PO4;SCORE_1;SCORE_2;SCORE_3;SCORE_4
0;S2;Resting open;1;0.178089172;0.17910828;0.170573248;0.198853503;0.209936306;0.174394904;0.182292994;1;0.951592357;0.677452229;0.668535032;0.580382166;0.764968153;0.50955414;1;0.683694268;0.661401274;0.574394904;0.767643312;0.506624204;1;0.524076433;0.461401274;0.649044586;0.399617834;1;0.790955414;0.658471338;0.634012739;1;0.569171975;0.642420382;1;0.540254777;1;24.9833;16.7697;13.4013;13.9708
0;S3;Resting open;1;0.165987261;0.139617834;0.14955414;0.148917197;0.152611465;0.130191083;0.140764331;1;0.568535032;0.467898089;0.617707006;0.385350318;0.477324841;0.542675159;1;0.524076433;0.435414013;0.278343949;0.455286624;0.391847134;1;0.35910828;0.241783439;0.397961783;0.329171975;1;0.471847134;0.408917197;0.621273885;1;0.282675159;0.432993631;1;0.421146497;1;2.19435;1.02568;2.35922;-0.170253
0;S6;Resting open;1;0.142420382;0.136942675;0.112866242;0.160636943;0.156815287;0.119363057;0.150828025;1;0.581656051;0.412101911;0.50343949;0.393757962;0.444458599;0.496815287;1;0.471974522;0.431847134;0.344458599;0.499363057;0.432101911;1;0.308407643;0.258471338;0.454012739;0.316178344;1;0.548025478;0.349681529;0.552229299;1;0.29388535;0.517324841;1;0.398598726;1;1.49783;0.608838;2.02944;-0.243417
0;S7;Resting open;1;0.125605096;0.107770701;0.1;0.135796178;0.141910828;0.097070064;0.106242038;1;0.60611465;0.591210191;0.628917197;0.460127389;0.588917197;0.497707006;1;0.650700637;0.479490446;0.364713376;0.571974522;0.424968153;1;0.448917197;0.327261146;0.582547771;0.382929936;1;0.597452229;0.482420382;0.553248408;1;0.37566879;0.507006369;1;0.478980892;1;11.275;6.41869;5.75638;5.51761
0;S10;Resting open;1;0.143057325;0.143694268;0.142929936;0.139490446;0.141019108;0.131847134;0.131847134;1;0.737070064;0.577324841;0.669808917;0.497452229;0.572356688;0.64343949;1;0.754649682;0.506496815;0.383949045;0.650191083;0.496942675;1;0.401146497;0.312738854;0.577452229;0.388025478;1;0.696178344;0.416305732;0.781019108;1;0.314394904;0.627388535;1;0.419617834;1;13.2727;9.36907;9.95766;8.17763
0;S11;Resting open;1;0.176687898;0.160509554;0.159617834;0.177961783;0.180509554;0.141528662;0.149171975;1;0.718089172;0.561910828;0.752611465;0.413121019;0.545732484;0.550700637;1;0.682038217;0.577579618;0.334267516;0.608535032;0.477070064;1;0.458980892;0.291082803;0.582547771;0.392101911;1;0.488152866;0.482929936;0.597834395;1;0.292101911;0.396178344;1;0.492356688;1;11.5102;6.41447;6.28285;5.93675
0;S13;Resting open;1;0.154904459;0.138980892;0.128535032;0.148407643;0.151719745;0.124840764;0.141656051;1;0.604458599;0.484585987;0.606369427;0.478089172;0.47566879;0.525859873;1;0.662038217;0.485477707;0.376687898;0.541656051;0.441273885;1;0.397579618;0.317707006;0.515414013;0.368407643;1;0.614012739;0.443184713;0.678853503;1;0.361910828;0.595796178;1;0.469044586;1;9.50612;5.9279;6.58023;4.21814
0;S14;Resting open;1;0.169171975;0.163821656;0.125350318;0.177707006;0.182675159;0.137707006;0.156050955;1;0.457834395;0.267006369;0.473375796;0.36;0.392866242;0.406751592;1;0.440127389;0.378598726;0.293375796;0.489299363;0.324076433;1;0.21388535;0.172101911;0.320254777;0.186878981;1;0.465095541;0.347770701;0.478726115;1;0.273757962;0.418343949;1;0.351974522;1;-7.39924;-4.34703;-3.17124;-4.6721
0;S15;Resting open;1;0.152101911;0.141019108;0.134394904;0.17133758;0.188280255;0.125987261;0.13044586;1;0.7;0.563184713;0.684203822;0.440509554;0.572611465;0.477452229;1;0.685095541;0.493375796;0.334522293;0.550573248;0.355541401;1;0.408535032;0.287515924;0.542292994;0.314522293;1;0.619363057;0.45566879;0.561656051;1;0.31133758;0.465350318;1;0.478980892;1;8.70838;6.00804;4.19944;4.57822
0;S16;Resting open;1;0.111210191;0.101528662;0.098726115;0.118726115;0.134267516;0.103821656;0.108535032;1;0.591082803;0.514394904;0.552866242;0.378089172;0.484713376;0.401019108;1;0.573375796;0.452993631;0.305859873;0.504203822;0.355923567;1;0.421656051;0.296050955;0.44955414;0.315286624;1;0.538853503;0.421528662;0.463312102;1;0.290318471;0.38343949;1;0.371082803;1;3.07883;1.06274;-0.0112117;0.213751
0;S18;Resting open;1;0.196942675;0.180764331;0.167261146;0.201019108;0.203312102;0.136942675;0.139745223;1;0.702420382;0.562547771;0.634012739;0.463057325;0.530063694;0.426751592;1;0.686878981;0.536178344;0.390828025;0.573121019;0.365987261;1;0.439363057;0.330700637;0.537197452;0.302292994;1;0.608407643;0.416815287;0.478471338;1;0.322420382;0.469681529;1;0.389044586;1;8.6297;5.55398;3.00544;3.85417
0;S22;Resting open;1;0.301019108;0.277070064;0.275159236;0.297579618;0.312866242;0.24522293;0.256687898;1;0.726369427;0.638216561;0.718471338;0.591847134;0.571464968;0.601146497;1;0.691082803;0.616305732;0.518853503;0.56522293;0.521910828;1;0.571082803;0.501783439;0.532484076;0.467006369;1;0.664585987;0.534267516;0.633121019;1;0.469426752;0.559745223;1;0.566624204;1;21.5836;12.9464;11.8224;8.55736
0;S23;Resting open;1;0.12955414;0.13477707;0.137324841;0.128280255;0.14955414;0.134904459;0.131082803;1;0.661783439;0.529681529;0.636305732;0.544968153;0.557579618;0.555541401;1;0.66866242;0.490318471;0.437070064;0.591082803;0.469299363;1;0.398471338;0.355541401;0.526878981;0.383184713;1;0.642929936;0.440764331;0.541019108;1;0.388535032;0.572993631;1;0.513248408;1;12.5342;8.09675;7.44659;5.67937
0;S24;Resting open;1;0.180509554;0.159872611;0.153121019;0.184713376;0.179490446;0.119490446;0.135159236;1;0.62343949;0.437707006;0.675796178;0.49133758;0.482929936;0.527770701;1;0.566496815;0.475541401;0.352356688;0.509299363;0.378471338;1;0.348917197;0.27656051;0.419872611;0.267133758;1;0.669936306;0.383057325;0.613757962;1;0.292611465;0.537452229;1;0.39388535;1;4.31846;4.32519;4.02896;1.37459
0;S25;Resting open;1;0.097452229;0.090063694;0.067261146;0.093630573;0.073375796;0.106878981;0.107643312;1;0.566878981;0.212101911;0.544840764;0.252484076;0.534522293;0.473375796;1;0.338980892;0.339363057;0.175031847;0.618853503;0.301146497;1;0.158980892;0.118216561;0.256050955;0.138343949;1;0.453757962;0.322802548;0.589044586;1;0.164840764;0.322675159;1;0.348280255;1;-11.7655;-5.54528;-3.31728;-3.99115
0;S26;Resting open;1;0.088152866;0.090700637;0.084840764;0.088917197;0.068280255;0.101656051;0.094904459;1;0.408917197;0.306369427;0.348280255;0.186369427;0.325987261;0.303821656;1;0.51388535;0.368789809;0.176815287;0.503949045;0.325732484;1;0.264968153;0.152101911;0.390063694;0.239617834;1;0.224076433;0.303184713;0.396687898;1;0.160127389;0.213757962;1;0.314904459;1;-11.3589;-10.032;-8.13622;-6.44748
0;S27;Resting open;1;0.086242038;0.076178344;0.075031847;0.079363057;0.075541401;0.084203822;0.092738854;1;0.55133758;0.426496815;0.49656051;0.318216561;0.237324841;0.34866242;1;0.568535032;0.443057325;0.308535032;0.274904459;0.314267516;1;0.336815287;0.234522293;0.265987261;0.252101911;1;0.45477707;0.208280255;0.435414013;1;0.162547771;0.332866242;1;0.232484076;1;-6.63654;-5.15522;-5.98612;-7.84023
0;S28;Resting open;1;0.097707006;0.107770701;0.099872611;0.097324841;0.076305732;0.115286624;0.102675159;1;0.328407643;0.329171975;0.297452229;0.156305732;0.351847134;0.257324841;1;0.442165605;0.28866242;0.170573248;0.452993631;0.238726115;1;0.267388535;0.152356688;0.498726115;0.223184713;1;0.316687898;0.305732484;0.420254777;1;0.165732484;0.297834395;1;0.28433121;1;-12.7062;-10.8043;-8.84029;-6.54957
0;S29;Resting open;1;0.090955414;0.086624204;0.090063694;0.080127389;0.079490446;0.125350318;0.104713376;1;0.525095541;0.362929936;0.508025478;0.295414013;0.421783439;0.497070064;1;0.430700637;0.363057325;0.236815287;0.433248408;0.36433121;1;0.25566879;0.194267516;0.364203822;0.255286624;1;0.442929936;0.292101911;0.516433121;1;0.204203822;0.352484076;1;0.401528662;1;-5.80145;-4.10949;-2.20273;-4.08378
0;S30;Resting open;1;0.054012739;0.055541401;0.052356688;0.049936306;0.056050955;0.072738854;0.063821656;1;0.682802548;0.412101911;0.426624204;0.316815287;0.432229299;0.379872611;1;0.584585987;0.296687898;0.240636943;0.487133758;0.29133758;1;0.193121019;0.170828025;0.409171975;0.19566879;1;0.393630573;0.214140127;0.337961783;1;0.190955414;0.469044586;1;0.325859873;1;-7.36061;-4.46675;-5.46646;-3.70477
